File_name,Participant_ID,Program,level_program,housing,year_undergraduate_degree,major,age,gender,years_studying_Spanish,Spanish_in_home,Proficiency_self_evaluation_beginning_of_program,Time,Formality,Text
part1_writing2_formal_mendoza,Participant_1,Mendoza_2022,advanced,host_family,3rd,Psychology and Spanish,20,Female,4.5,No,intermediate low,2,formal,"Hola estimida profesora, 
Espero que esté muy bien. Muchas gracias por todo que esta programa me ha dado. He tenido experencias nuevas y extraordinarias desde llegando aca en Mendoza, Argentina. Especialmente me ha gustado los viajes en los fines de semana donde podemos ver rutas hermosas y vistos increíbles todos juntos. 
Por supuesto, las clases también son muy importantes para yo. Como aca, estoy estudiando español, en los estados unidos estoy estudiando la psicología también. Por eso, tengo un favor a pedirle, si es posible. Sería tan amable a ayudarme con una estudia que tengo que hacer? Nomás yo necesitaría preguntarle algunos preguntas sobre la idea de las programas intercambios y sus afectos y consecuencias en la gente. Podría ser una entrevista muy corto en persona, por llamada, o también por correo electrical, qualquier es la mejor y más facil para usted. 
Las preguntas serían perteneciendo a las actitudes de programas intercambio, incluyendo aspectos de que le gusta o no le gusta y si cree que es una experencia que vale la pena para todas las personas que participan. Muchas gracias por su tiempo a leer esta mensaje y por supuesto por ayudarme si puedes hacer este. Le agradecía mucho. 
 
Saludos, 
[nombre apellido]"
part1_writing2_informal_mendoza,Participant_1,Mendoza_2022,advanced,host_family,3rd,Psychology and Spanish,20,Female,4.5,No,intermediate low,2,informal,"Hola [nombre], 
¡No hemos hablado en demasiado tiempo! ¿Como estás? Espero que estés bien y has pasado bien. Como sabes, estoy en una programa de intercambio en Mendoza, Argentina estudiando español. He pasado muy bien aca y he disfrutado este cambio en vida mucho. Tengo muchos amigos buenos y siempre hay actividades divertidos y nueva para probar, como vistos en la naturaleza durante el día o salir en la noche.
Para una de mis clases, tengo que escribir un ensayo sobre algunas experencias y actitudes perteneciendo a esta idea de estudiar en un país o lugar extranjero. ¿Podría ser posible me envias algunas frases u oraciones que llevan al mente cuando digo ""estudias extranjera""? ¿Harías este tipo de programa si tenías el opción? Cuentame por qué o por qué no. Si podiás,  ¿Adonde te gustaría ir y cual materia estudiarías?
Te agradecía mucho si sea posible hacer este favor para mi, me ayudaría mucho. Por supuesto, por favor decime todo sobre como la vida en Davis está también. Te extraño mucho y tengo ganas de hablar muy pronto y estoy emocionada a verte cuando yo vengo a las estados unidos en diciembre. ¡Hasta luego amiga! 

Nos vemos, 
[nombre apellido]"
part1_writing3_formal_mendoza,Participant_1,Mendoza_2022,advanced,host_family,3rd,Psychology and Spanish,20,Female,4.5,No,intermediate low,3,formal,"Estimido profesor, 
Quería decir, lo mas importante, que he disfrutado mucho tu clase de la literatura esta semestre. Siento que he aprendido mucho sobre los autoras y obras clásicas de esta epoca, exacto la razon porque elegí tomar este curso en el primer lugar. Tengo confianza de que lo que he aprendido aca va a ser útil en mi carrera futura.
Escribo porque confio mucho en su opinión y pericia. Quería preguntarle si podría posible obtener algunas referencias de algunas obras que pueden servirme con me tésis final. Necesito encontrar datos y cifras especificas sobre los movimientos feministas en el siglo XX en latinaamerica. Cree que tiene algunos fuentes que posiblemente yo podría accesar? También, sus investigaciones me interesan mucho y me encantaría preguntarle algunas preguntas sobre sus hallazgos en su última investigación publicada, si tiene tiempo. Es muy impresionante y aspiro a ser invulcrado con investigaciones tan importante un día. 
Para mi, este favor sería muy impactante porque creo que usted tiene la experencia con este tema y que tiene mucho conicimiento que no podría encontrar simplemente en un libro de texto sobre estos temas. Nomás una sóla referencia me ayudaría un montón! Muchas gracias en avance. 
 
Saludos, 
[nombre apellido]"
part1_writing3_informal_mendoza,Participant_1,Mendoza_2022,advanced,host_family,3rd,Psychology and Spanish,20,Female,4.5,No,intermediate low,3,informal,"Hola chica! Como estás? Espero que tu viaje a Buenos Aires el fin de semana pasado fuera re lindo. Adonde fueron ustedes? Me preguntaba si podrías mandarme algunas recomendaciones de la ciudad porque tengo muchas ganas de ir pronto! Extraño mucho viajando porque podés aprender tanto sobre culturas y maneras de vidas diferentes. Me encantaría visitar algunas vistas hermosas en la naturaleza si conoces algunas caminatas buenas. También quiero buscar algunos lugares para salir en la noche, me cansan los boliches de aca mucho... necesito música y vibras nuevas!! Cuál es tu favorita?? Recuerdo que salimos juntas mucho durante la escuela segundaria.. Vamos de nuevo! 
 
Ojala estás muy bien y espero que pases bien con tu regreso a Mendoza! Vamos a salir o cenar algun tiempo pronto! Da un abrazo a sus padres de mi parte porfa! Ciao! 
Besos, 
[nombre]"
part2_writing2_formal_mendoza,Participant_2,Mendoza_2022,advanced,host_family,3rd,Spanish and Economics,20,Female,7,Other: infrequently,intermediate,2,formal,"Querido Profesora, Ojalá que usted está bien. Me gusté la clase de hoy sobre las diferencias entre vos, tú, y usted. Es interesante aprender sobre cada país y la maneras en que la gente comunicarse. Para mejor mis habilidades de aprender español creo que es important empezar con el conociemento de diferencias entre los países latinoamericanos. Lingüística aplicada es un clase muy detallada y a veces estoy un poquito confundida con los materiales del libro de texto. A veces en clases personas están hablando rápido y por eso no entiendo todo. Ya conozco que tenemos un ensayo que necesitamos entregar para la próxima viernes. Tenemos la excursion en viernes a la bodega y un día muy largo mañana con la clase de tango y el session con parejas argentinas. No tengo tiempo para trabajar en mi ensayo en las próximas días. Quiero entregar mi trabajo mas desarrollada y bueno y por eso, usted esta bien si entregar mi ensayo un par de días tarde? Necesito tiempo para ver a mis notas y leer mas en detalla las definiciones de palabras claves. Creo que puedo entregar a las lunes en la mañana. Si tengo el fin de semana mi trabajo estaré mejor. Hasta mañana y gracias por todo. Saludo, [nombre]"
part2_writing2_informal_mendoza,Participant_2,Mendoza_2022,advanced,host_family,3rd,Spanish and Economics,20,Female,7,Other: infrequently,intermediate,2,informal,"Hola che! Qué onda? Ojalá que seas bien, fue un largo tiempo que hemos estar en contacto. Te extraño! Me encanta Mendoza y todo los paisajes y la gente es muy cariñosa. Necesito un favor, es pequeño y creo que puedes ayudarme fácilmente. No tengo un coche acá y quiero comprar réglalos para mi familia para Navidad. El día de Navidad es muy cerca y necesito reglaos para toda mi familia. Mi tío, abuelo, y padre son muy fanáticos de la Copa Mundial. Hay un lugar que vende cosas de fútbol. El partido de Argentina, específicamente Messi, es lo mas favorito de mi tío. Vamos Argentina! Vos gustas al fútbol? Mi mamá le gusta el vino y Mendoza es el lugar mejor para comprar esta pero no sé si puedo llevar an un avión. Los ademas quieren camisas. No hay camisas turísticas acá pero puedo buscar a algo divertido. Por fav, decirme si puedes manejarme un día esta semana para ir de compras. Ya conozco que estas preocupada con exámenes pero espero que el fin de semana funciona. Mendoza shopping es mi lugar favorite pero conoces mejor de mí. Si puedes, voy a comprar almuerzo o cena para los dos. Mi premio! Estaré muy divertido si puedes. Hasta luego amiga!"
part2_writing3_formal_mendoza,Participant_2,Mendoza_2022,advanced,host_family,3rd,Spanish and Economics,20,Female,7,Other: infrequently,intermediate,3,formal,"Hola Professora [nombre], Gracias por los consejos de usted sobre mi fin de semana en Chile. Todo fue muy lindo y quiero ir otra vez. Chile es muy diferente de Mendoza porque la costa está allá. Me gusta más Viña del Mar y Valpariso de Santiago. Aunque, [nombre], la amiga de usted que viva en Santiago, es muy amable y todavía estoy en contacto con ella. Mi pregunta ahora es totalmente diferente pero quería decir a usted esta porque me ayudé mucha. Ahora, estoy escribiendo el ensayo #3 sobre amistad y estoy un poquito confundida. Leí tres cuentos cortitos sobre amistad pero podemos usar solamente dos? Si quiero, puedo usar todos? Y también no sé dónde podría encontrar información sobre amistad en países latinoamericana. Es difícil porque nunca he visitado a alguna diferente país hispanohablante. Usted recomienda a algo sitio de web o persona que puede ayudarme? Puedo conectar con algunas de mis experiencias en Mendoza pero no sé si esto es demasiado obvio. Podemos hablar mañana durante clase también si usted quiere? No tengo clases después de almuerzo. No me importa. Gracias por responder a todas mis preguntas. Nos vemos mañana. Gracias, [nombre]"
part2_writing3_informal_mendoza,Participant_2,Mendoza_2022,advanced,host_family,3rd,Spanish and Economics,20,Female,7,Other: infrequently,intermediate,3,informal,"Hola che! Ojalá que todo esté bien. Estoy en crisis! Estoy bromeando no es un gran cosa pero después de la programa mi familia quiere ir a Mendoza por dos semanas. Soy su guía. Necesito consejos sobre todo en Mendoza. Tengo mis lugares favoritos de acá pero mi familia le gusta toda muy turística no de cafes o parques. Hay un centro comercial que recomiendas? Aristides es divertido pero no sé si es ideal por familias, especialmente en la noche. Mi familia le gusta a cosas tranquilas. Mi mamá le encanta vino, hay una bodega que recomiendas? Su vino favorito es Pinot Noir, y compré una botella para ella en los primeros días de mi viaje. También, fui a Palmares y Mendoza Shopping antes y me gusta los dos pero no sé si podría comprar algo turística allá. Hay algo en los ciudades cerca de Mendoza o es mejor quedarnos en Mendoza solamente? Podemos ir a un cafe para charlar sobre mis preguntas, si quieres. Es mi premio, obvio. Tengo tiempo todo el fin de semana pero en domingo estoy saliendo por Patagonia por una semana. Necesito tu numero de teléfono porque es más fácil comunicar en texto versus correo electrónico. Como siempre, gracias por todo."
part2_writing4_formal_mendoza,Participant_2,Mendoza_2022,advanced,host_family,3rd,Spanish and Economics,20,Female,7,Other: infrequently,intermediate,4,formal,"Hola Profesora [apellido]! Ojalá que usted este bien. Usted este enseñado una clase este trimestre? Me gustaba la clase de usted en el trimestre de verano de linguistica. Necesito un consejo sobre mi decision de va a Argentina este verano. Hay un oportunidad de ir a Mendoza otra vez con “Project World Impact”. No sé si usted sabe de este organización. Es un poquito caro casi $2000 dólares estadounidense para ir por solo cinco días. No sé si es una opción  buena para mí y mi familia. Es un poquito complicado porque tengo dos trabajos este verano y no sé si tengo tiempo para ir. Pero, extraño a mi familia allá y quiero mantener en contacto con ellos. Usted tiene algunos consejos? Tambien sí fuera, quiero ir a diferentes ciudades en Argentina cercano de Argentina. No quiero hablar con mi familia en este momento porque no estoy seguro que puedo quedar con mi familia de acá si fuera allá.  Sí va a Mendoza sola por favor da consejos a que actividades puede hacer. Gracias por el tiempo de usted y ojalá que podemos discutir esta tema en el futuro cercano. Por favor decirme si hay un tiempo para todo el grupo que iba a Mendoza podría reunir en la primevera."
part2_writing4_informal_mendoza,Participant_2,Mendoza_2022,advanced,host_family,3rd,Spanish and Economics,20,Female,7,Other: infrequently,intermediate,4,informal,"Hola Che! Estoy preocupada con mí examen en mi clase de español y necesito tu ayuda. El clase es totalmente dedicado a Don Quijote. En la clase, cada día necesita leer tres capítulos y da comentarios y discutir en clase. Es difícil porque la version de español es muy antigua y también el personaje principal es loco y no confiable. Cuando estaba en Mendoza en el otoño ayudó mucho con mi tarea. Es difícil porque no creo que mi español es en el nivel correcto para obtener una calificación alta. No conozco el estilo de pruebas del profesor tambíen. Podemos estudiar juntos? Hay diferentes personas del viaje a Mendoza que esta en la clase que podemos juntarnos en Zoom. Todos quieren hablar contigo sobre la vida de Mendoza y [nombre]. Conozco que hay una cambia en tiempo pero estoy flexible y puedo juntarnos cuando estas libre. Puedo ayudarte con cualquiera cosa que necesitas. Ojalá que puedes ayudarme. Después de esta clase, no voy a pensar en Don Quijote otra vez. Estoy muy estresada. Quiero que puedes contarme cuentos de su vida hasta hoy en Mendoza Extraño a Mendoza y tambien al Univesidad! Muchas gracias y espero que podemos juntar. Adios!"
