,id,prompt,quarter,course,age,gender,l1 language,other l1 language(s),language(s) used at home,language(s) studied,listening comprehension,reading comprehension,speaking ability,writing ability,study abroad,essay,a personal annotator1,a personal annotator2,gender-number annotator1,gender-number annotator2,updated anntoation ann1,updated annotation ann2,verbs annotation ann1,verbs annotation ann2,corrected1,corrected2
0,254644,place_you_dislike,S21,SPA 2,19,Female,2,English,1,No,Neither comfortable nor uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,No,"No hay realmente un lugar que no me guste. Si tuviera que pensar en una situación en particular serían lugares concurridos. Cuando estoy en un lugar lleno de gente empiezo a sentirme muy incómodo. Tu fuerza para ser aplastada tan de cerca junto con extraños. No sólo eso, sino que sólo existe el miedo a perderse o separarse de su familia. Estar en situaciones como esta, especialmente con mis hermanos menores, causa una preocupación extrema. Esta situación puede ser aún peor en una situación en la que se está en una zona desconocida. La ubicación es ruidosa y muy compacta. Junto con que es desconocido. No hay un verdadero sentido de familiaridad. También hay ocasiones en las que te ponen en una situación en la que debes pedir ayuda a uno de estos muchos extraños. Nunca se sabe si esta persona voluntariamente le ayudará a reunirse con su familia. Hablar con una persona desconocida es otra cosa de lo que preocuparse especialmente por alguien con ansiedad social. Cuando se pone en una situación como esta usted debe hacer lo que es en su mejor interés. En cierto sentido, supongo que los componentes que no me gustan mucho de los lugares concurridos es el desconocimiento, la proximidad a extraños, la oportunidad de ser separado de amigos / familiares, y la oportunidad de hablar con extraños. Para evitar ponerme en situaciones como esta trato de hacer compras antes de los tiempos. Especialmente cuando se trata de vacaciones. Por ejemplo, justo este mes he estado pasando mi tiempo tratando de comprar mis regalos de mamá para el Día de la Madre",,,,,,,,,,
1,257962,place_you_dislike,S21,SPA 24,19,Female,2,Spanish,2,Yes,Comfortable,Neither comfortable nor uncomfortable,Comfortable,Neither comfortable nor uncomfortable,Yes. More than 2 years.,"Uno de los lugares que menos me gusta o interesa, es la iglesia Católica. Desde los *AGE* años recuerdo ir a la iglesia, pero por nada del mundo me podía quedar despierta. Durante esa época de mi niñez nunca le ponía tanta importancia a las palabras del Padre, por la ignorancia de no querer aprender cosas nuevas. Pero ahora que entiendo un poco más como funciona la biblia y la iglesia, he aprendido que la fe de Dios no es algo para todos. A lo que me refiero con eso es que, la iglesia hace entender que no todos somos queridos por igual. Por ejemplo, se dice que las personas homosexuales, son pecadores y que se irán a infierno. En muchos casos, siento que la iglesia y las personas que siguen la religión católica pueden aparentar mucha ignorante a tiempos. ¡Si ignorancia! Con el tiempo he llegado a entender que yo soy diferente de todas las personas ""normal"" y que me iré al infierno si no cambio. Pero que más da, si por año siento que la iglesia ha creado una figura de Dios, que pueda no ser real. Siento que la iglesia católica ha creado la biblia a su manera, para controlar y obtener el dinero de la gente. Pero como ami me gusta tratar a todos por igual, yo callo mis opiniones y dejo a otros que crean en lo que ellos quieran. Es por eso que desde los *AGE* años he decidido dejar de ir a la iglesia, porque es un lugar que no me gusta.",,,,,,,,,,
2,256737,place_you_dislike,S21,SPA 3,18,Female,4 or more,English,1,No,Comfortable,Comfortable,Comfortable,Comfortable,No,"No me gusta el dentista. Es un lugar aburrido y no está divertido. Necesita ir al dentista una o dos veces al año y sentarse cuando ellos limpiar sus dientes. Que no me gusta el dentista? Bueno. La primer razón por la que no me gusta al dentista es ellos siempre te intentar a hablar cuando limpian sus dientes. Dicen ""Como estás"" y ""De dónde eres"" y ¡no puede responder porque tiene agua y pasta dental in su boca! También, ellos siempre tener a sacar fotos de sus dientes y x-rays. Este es un experiencia muy extraño que no me gusta. Finalmente no me gusta cuando ellos necesitan ""fill a cavity."" Sí, ellos siempre están muy simpaticos y amables pero todavía no me gusta.

De niña, me gustaba ir al dentista. Ellos tenían televisores y veía películas arriba cuando ellos limpiaba mis dientes. También tenía juguetes y premios para estaba bueno. Pero ahora, mi dentista lo tiene nada. ¡Ellos siempre me dice tengo cavities! Pienso que cuidar a mis dientes bueno, pero siempre tengo alguno problemo con ellos. 

En el año pasado, tuve sacareme los dientes wisdom. ¡Fue un experiencia horible! No me gusta nada porque fue doloroso y no agradable. No puedo comer nada para cinco días. Por los menos puedo comer mucho helado. 

Porque COVID-19, no puedo ir al dentista para un año. Creo que está importante para ir, secretamente estoy feliz. Simplemente, es un experiencia que no me gusta y quiero dientes bonita pero ¡deseo que nunca voy al dentista de nuevo!",,,,,,,,,,
3,228663,place_you_dislike,S21,SPA 3,19,Male,2,Other,4 or more,No,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Comfortable,Neither comfortable nor uncomfortable,No,"*PLACE* *PLACE* es mi hogar y la amo mucho. Intento visitarlo tanto como puedo, al menos una vez al año, y hay varias cosas que no me gustan. Como indio que vivía en *PLACE* y estudia en los *PLACE* *PLACE*, la gente a veces me trata de manera diferente. Esto no pasa mucho, pero solía pasar. Además, un gran porcentaje de *PLACE* *PLACE* tiene alcantarillado abierto, ganado en la calle y el medio ambiente es muy tóxico. La gente no tiene los mejores modales en la carretera. La contaminación en áreas metropolitanas como *CITY* y *CITY* es demasiado. Afortunadamente, la mayoría de los automóviles y las casas tienen aire acondicionado, pero la gente pobre en las calles sufre mucho. Además, *PLACE* *PLACE* también tiene mucha pobreza y al menos 2 familias viven en un lado de la calle. Lo que más me disgusta son los conductores, ya que es muy común que escupen en la carretera, ensuciándola y oliendo mal. *PLACE* no está del todo tranquila. En mi casa, cada mañana y cada noche los autos tocaban la bocina y tenían los peores modales en la carretera. A las dos de la noche o a las 6 de la tarde, siempre se oía ruido. Por último, los medios indios son los peores y los periodistas solo se preocupan por una cosa: qué noticias atraerán a la mayoría de las personas y no les importan mucho las cosas importantes. *PLACE* sigue siendo un gran país, pero tiene potencial para ser mucho mejor de lo que es.",,,,,,,,,,
4,205095,place_you_dislike,S21,SPA 168,21,Female,4 or more,"English,Other",3,No,Comfortable,Comfortable,Uncomfortable,Comfortable,No,"No me gusta la oficina del dentista. Siempre lleva mucho tiempo ser visto, y no me gusta tener muchas herramientas en la boca porque me rascan las encías y me duelen la mandíbula. También hay una luz brillante en mis ojos la mayor parte del tiempo. Cuando el dentista trata de hablar conmigo, es difícil responder porque no puedo mover la boca. Mi boca también se vuelva muy seca y incómoda. A muchos niños no les gusta ir al dentista e incluso tienen miedo de ir allí, pero para mí es solo que no disfruto ir y sentirme incómoda. Puedo imaginar que es muy difícil ser dentista para niños porque siempre gritan y lloran durante sus citas, probablamente debido a las herramientas. 

La peor parte fue cuando tenía frenos y tuve que hacer ajustes, lo cual fue muy doloroso. También la dicen que haga buches con este líquido en la boca y luego no podrá beber ni comer nada durante los treinta minutos después. Esto es incómodo porque mi boca siempre está seca después de la cita. Lo único bueno de ir al dentista fue conseguir un cepillo de dientes después. Yo siempre selecciona los cepillos rosadas. 

No me gusta más el dentista que el médico típico porque el médico me permite sentir más cómoda y solo tengo que ir cuando me siento mal, no para adjuntar mis frenos o algo como esto. Pero esto podría ser mi sesgo personal, porque quiero ser una médica en el futuro y pienso que es más divertido trabajar con cuerpos en lugar de bocas y dientes. ",,,,,"No me gusta la oficina del dentista. Siempre lleva mucho tiempo ser visto, y no me gusta tener muchas herramientas en la boca porque me rascan las encías y me duelen [duelen]{duele}<fs:st:pn> la mandíbula. También hay una luz brillante en mis ojos la mayor parte del tiempo. Cuando el dentista trata de hablar conmigo, es difícil responder porque no puedo mover la boca. Mi boca también se vuelva [vuelva]{vuelve}<fs:st:mo> muy seca y incómoda. A muchos niños no les gusta ir al dentista e incluso tienen miedo de ir allí, pero para mí es solo que no disfruto ir y sentirme [sentirme]{me siento}<fs:st:t> incómoda. Puedo imaginar que es muy difícil ser dentista para niños porque siempre gritan y lloran durante sus citas, probablamente debido a las herramientas.  La peor parte fue cuando tenía frenos y tuve [tuve]{tenía}<fs:st:t>que hacer ajustes, lo cual fue [fue]{era}<fs:st:t> muy doloroso. También la dicen que haga buches con este líquido en la boca y luego no podrá [podrá]{podrás}<fs:st:pn> beber ni comer nada durante los treinta minutos después. Esto es incómodo porque mi boca siempre está seca después de la cita. Lo único bueno de ir al dentista fue [fue]{era}<fs:st:t> conseguir un cepillo de dientes después. Yo siempre selecciona [selecciona]{seleccionaba}<fs:st:pn:t> los cepillos rosadas.  No me gusta más el dentista que el médico típico porque el médico me permite sentir más cómoda y solo tengo que ir cuando me siento mal, no para adjuntar mis frenos o algo como esto. Pero esto podría ser mi sesgo personal, porque quiero ser una médica en el futuro y pienso que es más divertido trabajar con cuerpos en lugar de bocas y dientes.","No me gusta la oficina del dentista. Siempre lleva mucho tiempo ser visto, y no me gusta tener muchas herramientas en la boca porque me rascan las encías y me [duelen]{duele}<fs:st:pn> la mandíbula. También hay una luz brillante en mis ojos la mayor parte del tiempo. Cuando el dentista trata de hablar conmigo, es difícil responder porque no puedo mover la boca. Mi boca también se vuelva muy seca y incómoda. A muchos niños no les gusta ir al dentista e incluso tienen miedo de ir allí, pero para mí es solo que no disfruto ir y sentirme incómoda. Puedo imaginar que es muy difícil ser dentista para niños porque siempre gritan y lloran durante sus citas, probablamente debido a las herramientas.  La peor parte fue cuando tenía frenos y tuve que hacer ajustes, lo cual fue muy doloroso. También la dicen que haga buches con este líquido en la boca y luego no podrá beber ni comer nada durante los treinta minutos después. Esto es incómodo porque mi boca siempre está seca después de la cita. Lo único bueno de ir al dentista fue conseguir un cepillo de dientes después. Yo siempre [selecciona]{selecciono}<fs:st:t> los cepillos rosadas.  No me gusta más el dentista que el médico típico porque el médico me permite sentir más cómoda y solo tengo que ir cuando me siento mal, no para adjuntar mis frenos o algo como esto. Pero esto podría ser mi sesgo personal, porque quiero ser una médica en el futuro y pienso que es más divertido trabajar con cuerpos en lugar de bocas y dientes.",,,,
5,256795,place_you_dislike,S21,SPA 2,19,Male,3,English,2,No,Neither comfortable nor uncomfortable,Comfortable,Comfortable,Comfortable,No,"Un lugar que no me gusta es la cafetería de la escuela. No me gusta la cafetería de la escuela porque no me gusta la comida. La cafetería de mi escuela secundaria tenía mala comida y siempre tenía la misma comida. La comida no es delicioso y diversa. En mi escuela secundaria, la cafetería es pequeña. Yo siempre compro comida y como lo mismo. Sin embrago, me gusta la cafetería en la universidad. Es muy grande y tiene mucha comida diferente. Tiene diferentes frutas, verduras, y postres. También, todos los días tienen diferentes proteínas. Durante COVID-19, no puede comer en la cafetería pero ahora puedo. Yo como con mis amigos para el almuerzo y la cena. Las cafeterías universitarias son mucho mejores que las cafeterías de la escuela secundaria. 

Otro lugar que no me gusta es el hospital. No me gusta el hospital porque parece triste. Me pongo triste cuando voy porque las personas está enferma. Voy al hospital a veces porque me enfermo o no me siento bien. 

Otro lugar que no me gusta es la biblioteca. Es demasiado tranquilo y aburrido. No me gusta estudiar y la biblioteca es el lugar para estudiar. Algunas veces, estudio en la biblioteca con mis amigos. Cuando estudio con mis amigos, me gusta ir a la biblioteca no cuando voy solo. Tengo muchas clases duras este semestre. Mi especialidad es ciencias políticas. Tengo que leer mucho para todas mis clases. Me gusta leer pero es aburrido en la biblioteca. Me gusta leer en mi cuarto.",,,,,,,,,,
6,202332,place_you_dislike,S21,SPA 155,21,Male,4 or more,English,2,No,Uncomfortable,Uncomfortable,Extremely uncomfortable,Extremely uncomfortable,No,"Un lugar que no me gusta. 

Pienso que un lugar que no me gusta es el campus de mi escuela secundario porque no tenía tiempo bueno allí. No me gusta este lugar porque cuando estoy cerca del, recuerdo todas las cosas malas que ocurren cuando fue a escuela allí. Los años que tenemos ir a la escuela secundaria son muy raros porque somos  joven y no sabemos sus mismos. Y porque de esto, muchas cosas raras ocurren. Yo no voy al campus de mi escuela secundaria mucho porque me niego a acercarme a él, pero si yo tengo ir, sería muy infeliz. 

También, recuerdo que odiaba la sensación de estar atrapado allí. No imp orca que, tienes que hacer cuatro anos de secundaria, y si no terminas no puedes ir a la universidad. No me gusto que me sentí como si tuviera que ir alli y no tenia otra opción. 

también, había muchas reglas y no llegamos a expresarnos o hacer lo que queríamos sin enfrentar grandes consecuencias que afectarían al resto de nuestras vidas. Have tanta presión. y los adminstradores de la escuela no entienden esto y no fueron amables ni serviciales. Fue un tiempo realmente miserable y no había nada que pudiera hacer para mejorarlo. 

Creo que el sistema educativo en este país es realmente malo y cuando voy por mi escuela secundaria es un recordatorio de cuanto de un fracaso es todo el sistema y lo perjudicial que puede ser para los niños pequeños. Es por eso que realmente no me gusta ese lugar, y nunca volveré a el. ",,,,,"Un lugar que no me gusta.  Pienso que un lugar que no me gusta es el campus de mi escuela [secundario]{secundaria}<ga:adj> porque no [tenía]{pasé}<fs:st:t> []{un}<ab:det:art:indef> [tiempo bueno]{buen tiempo}<col:adj> allí. No me gusta este lugar porque cuando estoy cerca del, recuerdo todas las cosas malas que [ocurren]{ocurrieron}<fs:st:t> cuando [fue]{fui}<fs:st:pn> a []{la}<ab:det:art:def> escuela allí. Los años que tenemos ir a la escuela secundaria son muy raros porque somos  [joven]{jóvenes}<na:adj> y no sabemos sus mismos. Y porque de esto, muchas cosas raras ocurren. Yo no voy al campus de mi escuela secundaria mucho porque me niego a acercarme a él, pero si [yo]{}<pr:su:pron> [tengo]{tuviera}<fs:st:t:mo> ir, sería muy infeliz.  También, recuerdo que odiaba la sensación de estar atrapado allí. No imp orca que, tienes que hacer cuatro anos de secundaria, y si no terminas no puedes ir a la universidad. No me [gusto]{gustaba}<fs:st:t> que [me sentí]{sentir}<fs:st:t> como si tuviera que ir alli y no [tenia]{tuviera}<fs:st:mo> otra opción.  también, había muchas reglas y no [llegamos]{llegábamos}<fs:st:t> a expresarnos o hacer lo que queríamos sin enfrentar grandes consecuencias que afectarían al resto de nuestras vidas. Have tanta presión. y los adminstradores de la escuela no [entienden]{entendían}<fs:st:t> esto y no [fueron]{eran}<fs:st:t> amables ni serviciales. Fue un tiempo realmente miserable y no había nada que pudiera hacer para mejorarlo.  Creo que el sistema educativo en este país es realmente malo y cuando voy por mi escuela secundaria es un recordatorio de cuanto de [un]{}<pr:det:art:indef> fracaso es todo el sistema y lo perjudicial que puede ser para los niños pequeños. Es por eso que realmente no me gusta ese lugar, y nunca volveré a el.","Un lugar que no me gusta.  Pienso que un lugar que no me gusta es el campus de mi escuela secundario [secundario]{secundaria}<ga:adj> porque no tenía [tenía]{tuve}<fs:st:t> []{un}<ab:det:art:indef> tiempo bueno [tiempo  bueno]{buen tiempo}<col:adj> allí. No me gusta este lugar porque cuando estoy cerca del, recuerdo todas las cosas malas que ocurren [ocurren]{ocurrieron}<fs:st:t> cuando fue [fue]{iba}<fs:st:t> a []{la}<ab:det:art:def> escuela allí. Los años que tenemos ir a la escuela secundaria son muy raros porque somos  joven [joven]{jóvenes}<na:adj> y no sabemos sus mismos. Y porque de esto, muchas cosas raras ocurren. Yo no voy al campus de mi escuela secundaria mucho porque me niego a acercarme a él, pero si yo tengo [tengo]{tuviera}<fs:st:t:mo> ir, sería muy infeliz.  También, recuerdo que odiaba la sensación de estar atrapado allí. No imp orca que, tienes que hacer cuatro anos de secundaria, y si no terminas no puedes ir a la universidad. No me gusto que me sentí como si tuviera que ir alli y no tenía [tenía]{tuviera}<fs:st:t:mo> otra opción.  también, había muchas reglas y no llegamos [llegamos]{llegábamos}<fs:st:t> a expresarnos o hacer lo que queríamos sin enfrentar grandes consecuencias que afectarían al resto de nuestras vidas. Have tanta presión. y los adminstradores de la escuela no entienden [entienden]{entendían]<fs:st:t> esto y no fueron [fueron]{eran}<fs:st:t> amables ni serviciales. Fue un tiempo realmente miserable y no había nada que pudiera hacer para mejorarlo.  Creo que el sistema educativo en este país es realmente malo y cuando voy por mi escuela secundaria es un recordatorio de cuanto de un fracaso es todo el sistema y lo perjudicial que puede ser para los niños pequeños. Es por eso que realmente no me gusta ese lugar, y nunca volveré a el.",,,,
7,204426,place_you_dislike,S21,SPA 1,25,Female,0,"English,Spanish,Other",3,Yes,Extremely comfortable,Extremely comfortable,Extremely comfortable,Comfortable,No,"Un lugar que no me gusta es el dentista. No me gusta el dentista porque cuando tenia como *AGE* años, tuve que ir muchas veces. Siempre tenia problemas con mis dientes pero fue cuando me isieron tres canal de raíces, que fue cuando empece a tener miedo de otra vez ir al dentista. Fue muy traumático y nunca entendí porque me paso eso. No pensé que me iba a afectar tanto pero me di cuenta que aún que ya pasaron muchos años, todavía tengo un poco de miedo cuando tengo que ir a dentista. Por eso nomas voy cada año para una limpeza y también tengo que tener alguien con migo en el cuarto. Pero al menos estoy contenta que a fin encontré un dentista que es amable y atentivo. Mi esperanza es que el miedo se me quite un día. Creo que si voy a poder lograr mi objetivo pero con mucha fuerza y dedicación. ",,,,,,,,,,
8,242333,place_you_dislike,S21,SPA 2,20,Male,3,English,1,No,Neither comfortable nor uncomfortable,Uncomfortable,Comfortable,Extremely uncomfortable,No,"No me gustan partes del mundo donde mucho contaminación es presente. Para mi, el contaminación no es aceptable. Cuides a *CITY* *CITY*, *CITY* *CITY*, y muchos partes del *PLACE*  son horrible. El aire es muy difícil de respirar y me duele el pecho. Me siento muy mal por todos los animales que viven en estos lugares. Ojalá los humanos pudieran ser más respetuosos y tratar al mundo con respeto. No me gusta ir a estos lugares porque no me gusta ver lo que esta gente le ha hecho a nuestro maravilloso planeta. La basura es horrible y todo lo que pasa por la basura y la contaminación del medio ambiente.

La planeta es muy importante para mi familia y yo. Mis hijos vivirán en partes del planeta no es bonito porque la contaminación. *CITY* *CITY* es el parte del mundo que la contaminación es el peor. El smog en el aire es impossible a vivir un vida normal. Es muy triste para mi porque *CITY* *CITY* es un bonito parte de *PLACE* *PLACE*. Las playas están sucias, y contaminadas. En adición los coches son loco. Hay muchos trafica porque hay demasiada gente. Los personas son muy agitado siempre. Ellos son difícil y fans de los *NAME*. En final, todos los lugares a contaminar son feo. En el futuro, es possible que muchos partes del mundo no es vida porque los personas. Es triste pero aún podemos cambiar y hacer del mundo un lugar mejor. Adios y gracias a crédito adicional. ",,,,,,,,,,
9,232665,place_you_dislike,S21,SPA 155,19,Female,4 or more,Spanish,2,Yes,Extremely comfortable,Comfortable,Uncomfortable,Comfortable,Yes. More than 2 years.,"El apartamento de dos cuartos ubicado en la esquina de la calle que todos conocían. Esa fama que le seguía no era buena. Ese apartamento tiene muchos recuerdos pero los malos superan a los bonitos. El armario dentro del cuarto que mi hermana y yo compartimos es donde me puse a llorar ese día. Le suplicaba a Dios que mi padre estuviera bien. Mi tío que trabajaba con mi padre llegó un día a la casa para ver si nosotros sabíamos dónde podía encontrarlo. Nosotros pensábamos que mi padre estaba con él. Mi tío nos dijo que había desaparecido y pensó que había regresado a casa. Pero mi padre no estaba con nosotros. Mi madre y mi tío se quedaron hablando pero yo lo único que quería era gritar. Me fui para mi cuarto y en el armario agarré una almohada y grite. Mi padre es mi rey y pensar que ya no lo volvería a ver me destrozó. En ese tiempo nada más tenía *AGE* o *AGE* años. Era pequeña y mi padre era mi protector. Después de llorar me controle y fui a sentarme cerca de la puerta para poder escuchar de lo que hablaban mi madre y tío. Ellos dos salieron y yo quería ir con ellos pero me tenía que quedar porque mis dos hermanitos estaban durmiendo. Tenía que quedarme a cuidarlos. Ellos se fueron por horas.

Regresaron con la noticia que habían encontrado a mi padre. Él estaba en el hospital después de un accidente. No pudo contactarse con nosotras porque estaba en cirugía. Estuve tan contenta de saber que estaba bien. Mis hermanos y yo fuimos a verlo al hospital pero estaba cubierto de vendas. Se podía ver sangre en sus heridas. Mi papá era el único que trabajaba en la familia. Después de su accidente no pudo trabajar por meses. Vi a mi madre y a mi padre peleando por las facturas que se tenían que pagar. Mi mamá tenía que ser su enfermera y también tenía que cuidar de nosotros. Estábamos en una situación difícil económicamente. Mi padre que siempre sonreía y hacía chistes era otra persona. Se sentía inutil al no poder ayudar. Me dolía ver a mis padres así. Entonces esa esquina en el armario era donde me sentaba a llorar. En ese apartamento ahora viven los compadres de mis padres. Cada vez que estoy ahí me siento incómoda porque puedo ver esos eventos que ocurrieron hace años claramente. Aunque esos eventos están en el pasado todavía puedo sentir esos sentimientos que estaban presentes en aquel tiempo. ",,,,,El apartamento de dos cuartos ubicado en la esquina de la calle que todos conocían. Esa fama que le seguía no era buena. Ese apartamento tiene muchos recuerdos pero los malos superan a los bonitos. El armario dentro del cuarto que mi hermana y yo compartimos es donde me puse a llorar ese día. Le suplicaba a Dios que mi padre estuviera bien. Mi tío que trabajaba con mi padre llegó un día a la casa para ver si nosotros sabíamos dónde podía encontrarlo. Nosotros pensábamos que mi padre estaba con él. Mi tío nos dijo que había desaparecido y pensó que había regresado a casa. Pero mi padre no estaba con nosotros. Mi madre y mi tío se quedaron hablando pero yo lo único que quería era gritar. Me fui para mi cuarto y en el armario agarré una almohada y grite. Mi padre es mi rey y pensar que ya no lo volvería a ver me destrozó. En ese tiempo nada más tenía *AGE* o *AGE* años. Era pequeña y mi padre era mi protector. Después de llorar me controle y fui a sentarme cerca de la puerta para poder escuchar de lo que hablaban mi madre y tío. Ellos dos salieron y yo quería ir con ellos pero me tenía que quedar porque mis dos hermanitos estaban durmiendo. Tenía que quedarme a cuidarlos. Ellos se fueron por horas.  Regresaron con la noticia que habían encontrado a mi padre. [Él]{}<pr:su:pron> estaba en el hospital después de un accidente. No pudo contactarse con nosotras porque estaba en cirugía. Estuve tan contenta de saber que estaba bien. Mis hermanos y yo fuimos a verlo al hospital pero estaba cubierto de vendas. Se podía ver sangre en sus heridas. Mi papá era el único que trabajaba en la familia. Después de su accidente no pudo trabajar por meses. Vi a mi madre y a mi padre peleando por las facturas que se tenían que pagar. Mi mamá tenía que ser su enfermera y también tenía que cuidar de nosotros. Estábamos en una situación difícil económicamente. Mi padre que siempre sonreía y hacía chistes era otra persona. Se sentía inutil al no poder ayudar. Me dolía ver a mis padres así. Entonces esa esquina en el armario era donde me sentaba a llorar. En ese apartamento ahora viven los compadres de mis padres. Cada vez que estoy ahí me siento incómoda porque puedo ver esos eventos que ocurrieron hace años claramente. Aunque esos eventos están en el pasado todavía puedo sentir esos sentimientos que estaban presentes en aquel tiempo.,El apartamento de dos cuartos ubicado en la esquina de la calle que todos conocían. Esa fama que le seguía no era buena. Ese apartamento tiene muchos recuerdos pero los malos superan a los bonitos. El armario dentro del cuarto que mi hermana y yo compartimos es donde me puse a llorar ese día. Le suplicaba a Dios que mi padre estuviera bien. Mi tío que trabajaba con mi padre llegó un día a la casa para ver si nosotros sabíamos dónde podía encontrarlo. Nosotros pensábamos que mi padre estaba con él. Mi tío nos dijo que había desaparecido y pensó que había regresado a casa. Pero mi padre no estaba con nosotros. Mi madre y mi tío se quedaron hablando pero yo lo único que quería era gritar. Me fui para mi cuarto y en el armario agarré una almohada y grite. Mi padre es mi rey y pensar que ya no lo volvería a ver me destrozó. En ese tiempo nada más tenía *AGE* o *AGE* años. Era pequeña y mi padre era mi protector. Después de llorar me controle y fui a sentarme cerca de la puerta para poder escuchar de lo que hablaban mi madre y tío. Ellos dos salieron y yo quería ir con ellos pero me tenía que quedar porque mis dos hermanitos estaban durmiendo. Tenía que quedarme a cuidarlos. Ellos se fueron por horas.  Regresaron con la noticia que habían encontrado a mi padre. Él estaba en el hospital después de un accidente. No pudo contactarse con nosotras porque estaba en cirugía. Estuve tan contenta de saber que estaba bien. Mis hermanos y yo fuimos a verlo al hospital pero estaba cubierto de vendas. Se podía ver sangre en sus heridas. Mi papá era el único que trabajaba en la familia. Después de su accidente no pudo trabajar por meses. Vi a mi madre y a mi padre peleando por las facturas que se tenían que pagar. Mi mamá tenía que ser su enfermera y también tenía que cuidar de nosotros. Estábamos en una situación difícil económicamente. Mi padre que siempre sonreía y hacía chistes era otra persona. Se sentía inutil al no poder ayudar. Me dolía ver a mis padres así. Entonces esa esquina en el armario era donde me sentaba a llorar. En ese apartamento ahora viven los compadres de mis padres. Cada vez que estoy ahí me siento incómoda porque puedo ver esos eventos que ocurrieron hace años claramente. Aunque esos eventos están en el pasado todavía puedo sentir esos sentimientos que estaban [estaban]{estuvieron}<fs:st:t> presentes en aquel tiempo.,,,,
