,id,prompt,quarter,course,age,gender,l1 language,other l1 language(s),language(s) used at home,language(s) studied,listening comprehension,reading comprehension,speaking ability,writing ability,study abroad,essay,a personal annotator1,a personal annotator2,gender-number annotator1,gender-number annotator2,updated anntoation ann1,updated annotation ann2,verbs annotation ann1,verbs annotation ann2,corrected1,corrected2
0,171468,special,W19,SPA 3,19,Female,English,,,,2,2,1,3,No,"Yo tengo tres hermanos, pero mi favorito es mi hermano mayor. Él es trece años mayor que yo. Su nombre es *FIRST_NAME* y muy importante para mí. Mi hermano no es alto, no es gordo, y tiene negro pelo. Él es despreocupado pero serio en el mismo tiempo. *FIRST_NAME* es muy realista, honesto, y aventurero también. Nosotros vamos al supermercado un día de la semana cuando yo estoy en *STATE* de sur. Por fin de semana nos vamos al centro de la ciudad. Nuestra actividad favorito es ver películas. Nos preferimos películas de horror o de cómicas. Es gracioso porque nos película favorita está un animada. Es la Isle de Perros. Le gusta ir de excursion con su perro, Roo. *FIRST_NAME* encanta ir de gimnasio para correr y hacer otro ejercicios. Él va todos los días por la noche, entonces no se levanta en la mañana.

*FIRST_NAME* trabaja para *UNIVERSITY* universidad con computadoras. Él es muy talentoso con tecnología. *FIRST_NAME* siempre sabe todas las nuevas tecnologías antes que todos otro personas. Él siempre contesté mis preguntas cuando yo tengo les. *FIRST_NAME* es muy inteligente y sabe qué decir cuando nosotros hablamos. Ahora que vivo en *CITY*, nosotros tenemos uno mejor relación. Yo no me gustaba mi hermano cuando yo joven. Yo quiero que nosotros tengamos un mejor relación antes, pero nos tenemos lo ahora. Yo deseo que nosotros hagamos más actividades con nuestro otro hermanos. Es fantástico que nosotros hagamos cosas juntos. Es no bueno que seamos solo. Yo sé que puedo confiar mi hermano. ",,,,,,,,,,
1,205437,special,W19,SPA 2,19,Male,Mandarin,,Mandarin,English,,,,,,"Yo pienso que si alguien tiene que dar una respuesta , esta respuesta es mamá. Mamá es mi persona especial. Ella cuida de mi. Ella cocina para mi. Ella gana dinero para mi. mamá es la mejor persona del mundo. Yo amo mucho a mi mamá. Cada vez, si tengo problemas, vengo a ella y mi mamá siempre puede ayudarme. Cuando tuve 10 años, tuve fiebre. No me sentí realmente bien. Mi mamá condujo un coche inmediatamente. Mi mamá agarró mi mamo y llevó me al médico. El médico dio medicación para mi y nos volvimos a casa después de eso. Después de volver a casa, mi mamá dio un poco de agua para mi y ella dijo que tome la medicina. Después de tomar la medicina, me dormí. Fueron las 10 de la noche cuando me dormí pero mi mamá no se durmió. Después de 1 hora, me desperté y descubrí que mi mamá todavía no durmió. Mi mamá todavía tuvo las obras para terminar porque hoy fue al hospital y ella no hizo las obras. Entre tanto, ella necesitó cuidar de mí. Por ejemplo, vino a mi habitación a ver si estoy bien. Supe que ella estuve cansada en ese momento pero mi padre estuvo en un viaje de negocios. Mi mamá es realmente una persona independiente. Después de esa noche, me sentí mucho mejor. No me sentí vértigo. Cuando me levanté, mi mamá ya fue a trabajar. Esta es mi mamá quién es la persona más gran del mundo.  ",,,,,,,,,,
2,173531,special,W19,SPA 3,"19, 20 in February ",Male,English,,"It’s very rare, but I will speak some Spanish with my mom",,3,4,3,4,No,"Creo que la persona más especial de mi vida es mi hermano menor. Él es dos años más joven que yo, pero es mi mejor amigo. Es muy divertido y una buena persona. Le gusta filmar películas con sus amigos y dibujar en su cuaderno. Él es muy especial para mí porque es muy amable y siempre dice la verdad. Es muy respetuoso y tiene un gran sentido del humor. No puedo imaginar mi vida sin él, él siempre me ha ayudado en la vida aunque no esté conmigo. Todavía es joven y está lleno de vida, aún no ha comenzado la universidad y aún disfruta de su tiempo en la escuela secundaria. Me recuerda a mí mismo. Me recuerda divertirme y disfrutar de las pequeñas cosas. El niño lucha por la grandeza, hará cualquier cosa por las personas que ama y nunca dejará de perseguir sus sueños. Le gusta ser un niño, pero también es muy maduro para su edad. Aunque yo soy su hermano mayor, él me enseña más lecciones sobre la vida de las que yo le enseño a él. Él entiende su lugar en el mundo. Yo recuerdo los días en que ambos éramos niños y todo lo que hacíamos era jugar videojuegos juntos o fingir ser piratas y superhéroes. Los dos siempre hemos tenido una pasión por hacer películas a Hollywood. Es increíble cómo todavía queremos hacer eso. Él es muy ambicioso, lo que me mantiene enfocado en mi carrera también. Él es mi familia, él es mi hermano, vamos a estar juntos toda nuestros vidas y necesitamos trabajar juntos y ser amigos porque la familia es más importante.",,,,,,,,,,
3,204503,special,W19,SPA 2,21,Female,Mandarin,,Mandarin,Chinese 20years,,,,,,"Una persona importante en mi vida es mi padre. el es el mejor. el me proporciona lo que quiero y necesito. Por ejemplo, el dinero importa, las situaciones educativas, y las necesidades y los lujos, mis necesidades y deseos. el me enseña ""los caminos"" para ser una mejor persona y para ser un mejor ciudadano en la vida. Habla de los modos de vida que deben ser las buenas acciones que se realizarán, de lo correcto a lo incorrecto y las lecciones y lecciones de la vida. Su personalidad y actitud es magnífica. Tomaria un tiempo de vida para explicar cada detalle. Mi papa es mi vida Vivo mi vida para que se sienta orgulloso de tener una hija como yo. el es mi todo. el me da dinero y ni siquiera tendría que pedirlo. Si lo hago, nunca me pregunta por qué. el paga por todo también. De cosas relacionadas educadas a cosas que solo quiero. Como zapatos, ropa, artículos electrónicos, etc. Si lo pido, puedo obtenerlo, dependiendo de si es el momento adecuado y lo que se debe pedir. Es asombroso cómo puede manejarse. Es un tipo de un solo hombre. Tiene que pagar la factura de la casa, las luces, el auto, el seguro, la comida, básicamente todo, pero aún así puede hacerme sitio a mí, a su pequeña hija. Nunca pienso que alguna vez haya fallado mi petición.",,,,,,,,,,
4,174048,special,W19,SPA 32,19,Female,Spanish,,I speak Spanish with my roommate so it helps me put it into practice.,,4,4,2,4,No,"Una persona especial en mi vida se llama *FIRST_NAME* *LAST_NAME* y ella es mi hermana y mi mejor amiga. Mi hermana y yo no nos llevabamos muy bien cuando eramos ninas porque no nos entendiamos pero despues de algun tiempo realizamos que si tenemos mucho en comun.  Cuando empeze estudiar en la universidad, *UNIVERSITY* mi hermana siempre me ayudaba. Ella me decia que si iba estar dificil empezar en un lugar nuevo pero que hiciera lo mejor que pudiera y que no me enfocara en lo que digan la gente. Tambien non tenia un trabajo en mi primer ano en la univerisdad asi que tenia muchos problemas financieras y me avergonzaba preguntale a mis papas pero finalmente le confese a mi hermana y me dio dinero ella misma. Asi es mi hermana, aunque ella no debe de darme dinero o hacer lo possible para que me sienta mejor ella siempre lo hace porque quiere ayudarme. Desde  chiquita cuando tenia mucha dificultad en hacer mi tarea ella me ayudaba (aunque no  querria hacerlo) y aveces hasta me la hacia.  Ella tamibien me cuidaba porque nuestros papas trabajan mucho y hacia lo possible para que me divertiera. Si, aveces no era mi mejor persona pero me cuidaba, me hacia reir y me haia enojar pero era la persona que siempre he estado conmido desde chiquita. Por eso mi hermana y la persona especial en mi vida porque siempre me ha apoyado y ha estado presente en mi vida. Se puede decir que hasta ha sido mi mama, aparte de hermana y mejor amiga. 

 ",,,,,"﻿Una persona especial en mi vida se llama *FIRST_NAME* *LAST_NAME* y [ella]{}<pr:su:pron> es mi hermana y mi mejor amiga. Mi hermana y yo no nos llevabamos muy bien cuando eramos ninas porque no nos entendiamos pero despues de algun tiempo realizamos que si tenemos mucho en comun.  Cuando empeze estudiar en la universidad, *UNIVERSITY* mi hermana siempre me ayudaba. [Ella]{}<pr:su:pron> me decia que si iba estar dificil empezar en un lugar nuevo pero que hiciera lo mejor que pudiera y que no me enfocara en lo que [digan]{diga}<fs:st:pn> la gente. Tambien non tenia un trabajo en mi primer ano en la univerisdad asi que tenia muchos problemas [financieras]{financieros}<ga:adj> y me avergonzaba [preguntale]{preguntarle}<fs:st:pn:t:mo> a mis papas pero finalmente le confese a mi hermana y me dio dinero ella misma. Asi es mi hermana, aunque [ella]{}<pr:su:pron> no [debe]{deba}<fs:st:mo> de darme dinero o hacer lo possible para que me sienta mejor [ella]{}<pr:su:pron> siempre lo hace porque quiere ayudarme. Desde  chiquita cuando tenia mucha dificultad en hacer mi tarea ella me ayudaba (aunque no  querria hacerlo) y aveces hasta me la hacia.  [Ella]{}<pr:su:pron> tamibien me cuidaba porque nuestros papas trabajan mucho y hacia lo possible para que me [divertiera]{divirtiera}<fs:st:t>. Si, aveces no era mi mejor persona pero me cuidaba, me hacia reir y me haia enojar pero era la persona que siempre [he estado]{ha estado}<fs:ct:aux:pn> conmido desde chiquita. Por eso mi hermana y la persona especial en mi vida porque siempre me ha apoyado y ha estado presente en mi vida. Se puede decir que hasta ha sido mi mama, aparte de hermana y mejor amiga.  ","Una persona especial en mi vida se llama *FIRST_NAME* *LAST_NAME* y ella es mi hermana y mi mejor amiga. Mi hermana y yo no nos llevabamos muy bien cuando eramos ninas porque no nos entendiamos pero despues de algun tiempo realizamos que si tenemos mucho en comun.  Cuando empeze estudiar en la universidad, *UNIVERSITY* mi hermana siempre me ayudaba. [Ella]{}<pr:su:pron> me decia que si iba [estar]{ser}<conf:v:seta> dificil empezar en un lugar nuevo pero que hiciera lo mejor que pudiera y que no me enfocara en lo que [digan]{dijera}<fs:st:pn:t> la gente. Tambien non tenia [un]{}<pr:det:art:indef> trabajo en mi primer ano en la univerisdad asi que tenia muchos problemas [financieras]{financieros}<ga:adj> y me avergonzaba preguntale a mis papas pero finalmente le confese a mi hermana y me dio dinero ella misma. Asi es mi hermana, aunque ella no debe de darme dinero o hacer lo possible para que me sienta mejor ella siempre lo hace porque quiere ayudarme. Desde  chiquita cuando tenia mucha dificultad en hacer mi tarea ella me ayudaba (aunque no  querria hacerlo) y aveces hasta me la hacia.  [Ella]{}<pr:su:pron> tamibien me cuidaba porque nuestros papas trabajan mucho y hacia lo possible para que me divertiera. Si, aveces no era mi mejor persona pero me cuidaba, me hacia reir y me haia enojar pero era la persona que siempre [he estado]{ha estado}<fs:ct:aux:pn> conmido desde chiquita. Por eso mi hermana y la persona especial en mi vida porque siempre me ha apoyado y ha estado presente en mi vida. Se puede decir que hasta ha sido mi mama, aparte de hermana y mejor amiga.  ",,,"Una persona especial en mi vida se llama *FIRST_NAME* *LAST_NAME* y ella es mi hermana y mi mejor amiga. Mi hermana y yo no nos llevábamos muy bien cuando éramos niñas porque no nos entendíamos, pero después de algún tiempo nos dimos cuenta de que sí tenemos mucho en común. Cuando empecé a estudiar en la Universidad de *UNIVERSITY* mi hermana siempre me ayudaba. Me decía que iba a ser difícil empezar en un lugar nuevo pero que hiciera lo mejor que pudiera y que no me enfocara en lo que dijera la gente. Tampoco tenía trabajo en mi primer año en la universidad, así que tenía muchos problemas financieros y me avergonzaba pedirles ayuda a mis papás, pero finalmente le confesé a mi hermana y me dio dinero ella misma. Así es mi hermana, aunque ella no debe darme dinero o hacer lo posible para que me sienta mejor, ella siempre lo hace porque quiere ayudarme. Desde chiquita, cuando tenía mucha dificultad en hacer mi tarea, ella me ayudaba (aunque no  querría hacerlo) y a veces hasta me la hacía. También me cuidaba porque nuestros papás trabajan mucho y hacía lo posible para que me divirtiera. Sí, a veces no era la mejor persona, pero me cuidaba, me hacía reír y me hacía enojar, pero era la persona que siempre ha estado conmigo desde chiquita. Por eso mi hermana es una persona especial en mi vida, porque siempre me ha apoyado y ha estado presente en mi vida. Se puede decir que hasta ha sido mi mamá, aparte de hermana y mejor amiga.",
5,204488,special,W19,SPA 1,19,Female,English,None,No,Spanish 4 years,1,2,1,2,No,"Mi amigo *FIRST_NAME* es muy importante. El es alto, guapo, y divertido. El es simpatico, agradables, y dramatico. Es muy activo, porque El practica futbol. El tiene los ojos marrones, y piel cafe. El tiene el pelo rizado, y pelo negro. El tiene *AGE* anos. El es estudiante y no gusta escuela. El tiene cuatros hermanos, y mucho titas y titos. Su hermanos son *AGE*, *AGE*, *AGE*, y *AGE*. El vive con su padre y tiene un perro. Su perro es muy pequeno. En el fin de semana, El juega videojuegas. El me ama mucho. Su cumpleanos es la dia veinticinco en el mes agosto. El gusta cantar, bailar, y hacerme contenta. El no gusta estudiar, escribir, o leer. El bebe favorita es gatorade. El comida favorita es pez. Su carro es el color verde. El color favorita es rojo. Su zapatos favoritas es crocs. El es mucho comico y interesante. ",,,,,,,,,,
6,174869,special,W19,SPA 24,20,Female,English,,,,3,3,3,3,No,"Mi madre es la mejor y mas especial persona en mi vida. Es probablemente una respuesta muy común pero es verdad para mi. Cuando yo tengo un día muy mal, yo llamo mi mama por teléfono. Cuando yo no se que hacer en una situación para escuela o sobre mis amigas, yo llamo mi mama por teléfono. Cuando yo era en la escuela secundario, y yo volvería a casa triste, ella me ayudaría sentir mejor. Cuando yo era aplicar a los universidades, nos quedaríamos despiertos hasta tarde haciendo en los ensayos. Ella es mi mayor partidario y cuando yo recibí mi carta de aceptación de *UNIVERSITY*, nosotros estuvimos muy felices.

Yo admiro a mi madre porque ella esta inteligente y amoroso y ella sabe como trabajar duro. En el pasado, ella tiene un trabajo fácil y esta aburrido. Así que ella aplica para un nuestro trabajo y trabaja muy duro en su currículum. Por supuesto, ella recibe el trabaja.  Pero cuando ella necesita salir, todos de sus amigos del trabajo eran tristes y le dijeron a ella como mucho aman trabajando con ella. Ellos todavía lo extrañan. Ahora, a el nuevo trabajo de ella, todos los compañeros de trabajo les gusta a ella. Y aunque fue duro, mi madre cambia como ella sabe y cambia su trabajo porque era la idea mejor para su salud mental.

Hoy, mientras yo escribo esto, yo estoy aplicando a internados para la verano y yo llamo mi mama para decir como escribir mis cartas como sonar profesionales. me encanta mi mama y estoy feliz que ella siempre deja todo para ayudarme cuando yo lo necesito. ",,,,,,,,,,
7,149040,special,W19,SPA 2,21,Female,English,,no,ASL - a couple quarters,3,3,2,2,No,"La persona especial a mi se llama *FIRST_NAME*. El es mi amigo de once anos y nos conocemos de el cuatro grado. *FIRST_NAME* vivan en *CITY* y va a *UNIVERSITY*. El quiere hacer un bombero, y tambien encanta jugar futbol. Cuando yo tengo un vaccacione del universidad, yo voy a *CITY* y nosotros pasamos much tiempo juntos. Juntos, nosotros hacer muchas cosas. Nosotros vamos al restaurantes, jugamos tenis, jugamos juegos, vamos a manejas, vamos al vaccaciones, y pasamos tiempo con su otros amigos. Mi favorita cosa a hacer con *FIRST_NAME* es a manejar y jugar tenis. Yo encanto a hacer este cosas porque nosotros podemos hablar mucho en este tiempos. Tambien, a mi me encanta a viajar con el porque el es muy divertido a explorar con.

*FIRST_NAME* es un fantastico persona. Es muy atletico, passionado, carino, simpatico, divertido, gracioso, y adventuroso. El familia es de una hermana, una madre, y un papa y tambien tiene cinco perros. El quiero viajar America y mira y visita muchos ciudades. *FIRST_NAME* es muy ambicioso y le gusta hacer muchos cosas nuevas. *FIRST_NAME* es un poco mas alto de mi y is muy atletico. 

Nosotros hablar mucho cuando nos atendamos universidades. El es my facil a hablar con y es muy entendiendo. *FIRST_NAME* tiene muchos amigos y yo no se muchos a este dia. Es muy bueno a dije cuentas y tiene muchos. Es una persona muy interesante y simpatico. Es una persona muy especial de mi y estoy muy contente a conozco el. 

 ",,,,,,,,,,
8,153965,special,W19,SPA 24,20,Female,English,,,Mandarin - 3 years ,3,3,3,2,No,"Mi madre es una persona muy especial en mi vida porque ella es un monoparental. Tengo mucho respeto para monoparentales porque ellos no tienen apoyo de sus pareja. Los monoparentales deben hacer el trabajo de dos personas. Tengo mucho apreciación para mi madre porque ella dame un buena vida. Ella trabaja muy duro para que yo puedo ir a la universidad sin necesitar tener un trabajo. También, cuando era una niña, mi madre pagó por eso yo podría ir a las escuelas buenas y yo podría jugar voleibol. Mi madre y yo tenemos una relación buena. Cuando yo empecé mis clases a la universidad, yo visitaría mi mamá cada fine de semana. Me perdería mi mamá mucho. Cuando yo llegué a la casa de mi mamá muchas veces nosotros iría a mi restaurante favorita para cena. Ahora, no voy a la casa de mi mamá mucho porque soy muy ocupada pero yo hablo con mi mamá cada noche. Mi madre dame una vida muy buena y yo aprecio que ella me ha criado con mucho amor y dedicación. También yo aprecio que yo puedo hablar con ella sobre muchas cosas y cuando yo tengo un problema mi madre siempre está allá para mí. Yo puedo hablar con ella por muchas horas. Nuestra relación no es perfecta pero no relación entre los padres y sus hijos son perfectos, pero hay mucho amor entre mi madre y yo, y hay muchas relaciones entre los padres y sus hijos donde los hijos no son cercana con sus padres.",,,,,"Mi madre es una persona muy especial en mi vida porque ella es [un]{una}<ga:det:art:indef> monoparental. Tengo mucho respeto para []{los}<ab:det:art:def> monoparentales porque ellos no tienen apoyo de sus [pareja]{parejas}<na:noun>. Los monoparentales deben hacer el trabajo de dos personas. Tengo [mucho]{mucha}<ga:adj> apreciación para mi madre porque ella dame un buena vida. Ella trabaja muy duro para que yo [puedo]{pueda}<fs:st:mo> ir a la universidad sin necesitar tener un trabajo. También, cuando era una niña, mi madre pagó por eso yo [podría]{podía}<fs:st:t> ir a las escuelas buenas y yo [podría]{podía}<fs:st:t> jugar voleibol. Mi madre y yo tenemos una relación buena. Cuando yo empecé mis clases a la universidad, yo [visitaría]{visitaba}<fs:st:t> mi mamá cada fine de semana. Me [perdería]{perdía}<fs:st:t> mi mamá mucho. Cuando yo llegué a la casa de mi mamá muchas veces nosotros [iría]{íbamos}<fs:st:pn:t> a mi restaurante [favorita]{favorito}<ga:adj> para []{la}<ab:det:art:def> cena. Ahora, no voy a la casa de mi mamá mucho porque [soy]{estoy}<conf:v:seta> muy ocupada pero yo hablo con mi mamá cada noche. Mi madre dame una vida muy buena y yo aprecio que ella me ha criado con mucho amor y dedicación. También yo aprecio que yo puedo hablar con ella sobre muchas cosas y cuando yo tengo un problema mi madre siempre está allá para mí. Yo puedo hablar con ella por muchas horas. Nuestra relación no es perfecta pero no []{la}<ab:det:art:def> relación entre los padres y sus hijos son perfectos, pero hay mucho amor entre mi madre y yo, y hay muchas relaciones entre los padres y sus hijos donde los hijos no son cercana con sus padres.","﻿Mi madre es una persona muy especial en mi vida porque ella es [un]{}<pr:det:art:indef> monoparental. Tengo mucho respeto [para]{por}<conf:prep:popa> monoparentales porque ellos no tienen apoyo de [sus]{su}<na:adj> pareja. Los monoparentales deben hacer el trabajo de dos personas. Tengo [mucho]{mucha}<ga:adj> apreciación [para]{por}<conf:prep:popa> mi madre porque [ella]{}<pr:su:pron> dame [un]{una}<ga:det> buena vida. [Ella]{}<pr:su:pron> trabaja muy duro para que yo [puedo]{pueda}<fs:st:mo> ir a la universidad sin necesitar tener un trabajo. También, cuando era una niña, mi madre pagó por eso yo [podría]{podía}<fs:st:t> ir a las escuelas buenas y [yo]{}<pr:su:pron> [podría]{podía}<fs:st:t> jugar voleibol. Mi madre y yo tenemos una relación buena. Cuando yo empecé mis clases a la universidad, yo [visitaría]{visitaba}<fs:st:t> mi mamá cada fine de semana. Me perdería mi mamá mucho. Cuando [yo]{}<pr:su:pron> llegué a la casa de mi mamá muchas veces [nosotros]{}<pr:su:pron> [iría]{íbamos}<fs:st:pn:t> a mi restaurante favorita para []{la}<ab:det:art:def> cena. Ahora, no voy a la casa de mi mamá mucho porque [soy]{estoy}<conf:v:seta> muy ocupada pero [yo]{}<pr:su:pron> hablo con mi mamá cada noche. Mi madre dame una vida muy buena y [yo]{}<pr:su:pron> aprecio que [ella]{}<pr:su:pron> me [ha criado]{haya criado}<fs:ct:mo> con mucho amor y dedicación. También [yo]{}<pr:su:pron> aprecio que [yo]{}<pr:su:pron> [puedo]{pueda}<fs:st:mo> hablar con ella sobre muchas cosas y cuando [yo]{}<pr:su:pron> tengo un problema mi madre siempre está allá para mí. [Yo]{}<pr:su:pron> puedo hablar con ella por muchas horas. Nuestra relación no es perfecta pero no relación entre los padres y sus hijos son perfectos, pero hay mucho amor entre mi madre y yo, y hay muchas relaciones entre los padres y sus hijos donde los hijos no son [cercana]{cercanos}<ga:na:adj> con sus padres.",,,"Mi madre es una persona muy especial en mi vida porque ella es una monoparental. Tengo mucho respeto para los monoparentales porque ellos no tienen apoyo de sus parejas. Los monoparentales deben hacer el trabajo de dos personas. Tengo mucha apreciación para mi madre porque ella me da un buena vida. Ella trabaja muy duro para que yo pueda ir a la universidad sin necesitar tener un trabajo. También, cuando era una niña, mi madre pagó, por eso yo podía ir a las escuelas buenas y yo podría jugar al voleibol. Mi madre y yo tenemos una relación buena. Cuando yo empecé mis clases en la universidad, yo visitaba mi mamá cada fin de semana. Me perdía a mi mamá mucho. Cuando yo llegué a la casa de mi mamá muchas veces nosotras íbamos a mi restaurante favorito para la cena. Ahora, no voy a la casa de mi mamá mucho porque estoy muy ocupada, pero yo hablo con mi mamá cada noche. Mi madre me da una vida muy buena y yo aprecio que ella me ha criado con mucho amor y dedicación. También yo aprecio que yo puedo hablar con ella sobre muchas cosas y cuando yo tengo un problema mi madre siempre está allá para mí. Yo puedo hablar con ella por muchas horas. Nuestra relación no es perfecta, pero no la relación entre los padres y sus hijos no son perfectos, pero hay mucho amor entre mi madre y yo, y hay muchas relaciones entre los padres y sus hijos donde los hijos no son cercanos a sus padres.",
9,161732,special,W19,SPA 3,21,Female,English,n/a,no,no,3,4,2,3,Yes,"Yo quiero que escribir sobre mi novio. Yo conocí le en la primavera de dos mil dieciocho. Nosotros hicimos amigos rápidamente. Nosotros empezamos una relación en el otoño. Él es muy simpático, gracioso, y guapo. Él hace cosas buenas para mí. Él lava mis platos, hace mi cama, limpia mi cuarto, y lava mi ropa. Pero, no siempre. Él es muy responsabilidad y él está un vicepresidente del *PLACE*. Él está muy ocupado todos los días, pero él siempre haces tiempo para me. Nosotros nos gusta ver películas y cocinar comida juntos. Me encanta cocinar panqueques para él y le gusta cocinar pasta para mí. Nosotros nos gusta ver comedia en vivo, comedia romántica, o películas de suspenso. Para navidad, yo le compré una caliente manta y una corbata. Le gustaron sus regalos. Él me compró un elefante que está hecho de piedra opal. Me encanta mucho. Elefantes son mis animales favoritos y opal es mi piedra favorita. Él tiene una gran memoria. Yo le traje a mi formal de *PLACE*. Nosotros bailamos y tenemos divertida juntos. En unas pocas semanas él em está llevando a su formal en *PLACE*. Estoy emocionante para su formal. Él me hace feliz porque él es muy positivo y tranquilo. No me gustan todos sus amigos. Él tiene una amiga que no me gusta en absoluto. Ella es muy molesta y ruda a mí. Yo pienso que ella le gusta y ella no quiere ser solo su amigo. Mi novio piensa que estar correcto perro le gusta su amistad.",,,,,,,,,,
