,id,prompt,quarter,course,age,gender,l1 language,other l1 language(s),language(s) used at home,language(s) studied,listening comprehension,reading comprehension,speaking ability,writing ability,study abroad,essay,a personal annotator1,a personal annotator2,gender-number annotator1,gender-number annotator2,updated anntoation ann1,updated annotation ann2,verbs annotation ann1,verbs annotation ann2,corrected1,corrected2
0,153178,terrible,S19,SPA 33,20,Female,Spanish,-  The language I consider to be my native language is Spanish,#NAME?,,4,3,3,3,No,"Una historia terrible ocurrió cuando tenía cinco años. Mi familia y yo íbamos a Walmart para comprar papel de baño. Todo estaba bien bien hasta que íbamos de regreso a la casa. Había un checkpoint y nosotros estuvimos en la línea. Luego, la policia nos dijo que esperamos por alguien con licencia que nos recogiera porque mi madre no tenía una licensia y estaba manejado el vehículo. Para mi este día fue el peor día porque también mi madre corría el riesgo de ser deportada por ser indocumentada pero gracias a Dios no fue. Mi tía y mi tío llegaron rápido a ayudarnos y no nos quitaron al carro pero si nos dieron un ticket por no tener la licensia como la ley requiere. Después de esto, nosotros aprendimos porque existen los checkpoints. Durante ese tiempo yo tuve un rencor hacia los policías y hace los checkpoints porque no entendía que hacían eso para reducir los accidentes que ocurren por individuos manejando bajo la influencia de alcohol. Los checkpoints servían como una forma de reducir las tragedias y ayudaban prevenir que gente tomate y manejare. Me acuerdo que sentía mucho temor por mi madre y lloraba porque yo me  culpaba porque tomamos el ruto contrario porque yo quería pasar a comprar helado. Ahora, entiendo que no era mi culpa que las cosas pasan por halgo y todos modos todo salió bien. La única cosa que ocurrió fue que teníamos que pagar aproximadamente trescientos dólares por la falta de licencia. Aunque todavía fue mucho dinero preferí eso que tener que despedirme de mi madre.",,,,,,,,,,
1,149040,terrible,S19,SPA 3,21,Female,English,,No,ASL - less than a year,3,3,3,3,No,"Dos anos en el pasado, en mi ano primero de la universidad, yo tuve dos companeras de cuarto. Nosotros fuimos hacer mucho juntos y pasemos much tiempo juntos. En el mismo ano, conoci mas amigas, una nueva y una del pasado. Cuando el terminado del ano llegue, nosotros fuimos hacer muchos juntos. Ademas, una de mis comaneras de cuarto parado pasaba tiempo con nosotros tan mucho por que ella conocia un chico. Por eso, yo con mis tres otras amigas hacemos mas juntos. Nosotros comimos juntos, fuimos bailando juntos, y celebremos cumpleanos juntos, por ejemplo. 

Estoy muy contenta con los dos de mis companeras de cuarto por mas del ano. No fue muchas problemas y nosotros nos gusta pasar tiempo juntos. Aunque, durante el fin del ano, yo puedo ver que todas no fueran perfectas. La una cuarto de companera que yo pase la mas tiempo con, empiece ser dificil. Un dia, mi companera de cuarta y nuestros dos amigas fuimos al Trader Joes para comprar comida. Nosotros montamos en bicicletas juntos y compramos nuestros comidas. Despues, cuando saliendo, mis amigas y pirdimos mi companera de cuarta. No sabemos donde esta ella fue. Nosotors fueramos muy nerviosos y ella no tuve su telefono. Nosotros he hablado que vuelvemos a los dormitorios despues de Trader Joes, y por eso nosotros montamos a los dormitorios despues de buscamos sobre Trader Joes. Cuando lleguemos a los dormitorios y yo vuelve a mi dormitorio, encontre mi companera de cuarto. Ella dice que tome un ruta differente. ",,,,,,,,,,
2,201268,terrible,S19,SPA 21,19,Female,English,,,,3,4,3,4,No,"Había una vez, mis amigos y yo fuimos a la playa durante el verano porque hacía mucho calor afuera. Después de mucho debate, decidimos ir a *PLACE*, una playa en *CITY*, *STATE*. *PLACE* tiene una parte de playa con arena y olas, pero también tiene acantilados cercanos. Una cosa popular para hacer aquí es hacer para saltar del acantilado. El salto desde el acantilado es donde estás en lo alto de una roca y luego saltas al agua debajo. Sin embargo, en *CITY* no se recomienda que salte de acantilado porque puede ser peligroso ya que estás en lo alto. Aunque, no es ilegal que un salvavidas te vea saltar, puede darte un boleto. Cuando yo y mis amigos llegamos, había algunos salvavidas en los acantilados de la playa. Sin embargo, eventualmente se fueron para ir a su siguiente lugar. Entonces decidimos que era nuestra oportunidad de saltar. Mucha gente tuvo la misma idea que nosotros y pronto hubo una fila para saltar. Pronto fue nuestro turno. Todos saltamos juntos y aterrizamos en el agua. Pero, cuando salimos del agua, mi amiga se lastimó la nariz con una roca y comenzó a sangrar. Rápidamente salimos del agua y corrimos a buscarle una toalla para detener la sangre. Como resultado, su nariz quedó magullada durante una semana. La próxima vez, tomaremos el consejo de los salvavidas y no iremos al salto del acantilado porque es peligroso. Aunque fue divertido, en cambio nos relajaremos y la playa en la arena, cerca del suelo.",,,,,"Había una vez, mis amigos y yo fuimos a la playa durante el verano porque hacía mucho calor afuera. Después de mucho debate, decidimos ir a *PLACE*, una playa en *CITY*, *STATE*. *PLACE* tiene una parte de playa con arena y olas, pero también tiene acantilados cercanos. Una cosa popular para hacer aquí es hacer para saltar del acantilado. El salto desde el acantilado es donde estás en lo alto de una roca y luego saltas al agua debajo. Sin embargo, en *CITY* no se recomienda que salte [salte]{saltes}<fs:st:pn:mo> de []{el}<ab:det:art:def> acantilado porque puede ser peligroso ya que estás en lo alto. Aunque, no es ilegal que un salvavidas te vea saltar, puede darte un boleto. Cuando yo y mis amigos llegamos, había algunos salvavidas en los acantilados de la playa. Sin embargo, eventualmente se fueron para ir a su siguiente lugar. Entonces decidimos que era nuestra oportunidad de saltar. Mucha gente tuvo la misma idea que nosotros y pronto hubo una fila para saltar. Pronto fue nuestro turno. Todos saltamos juntos y aterrizamos en el agua. Pero, cuando salimos del agua, mi amiga se lastimó la nariz con una roca y comenzó a sangrar. Rápidamente salimos del agua y corrimos a buscarle una toalla para detener la sangre. Como resultado, su nariz quedó magullada durante una semana. La próxima vez, tomaremos el consejo de los salvavidas y no iremos al salto del acantilado porque es peligroso. Aunque fue divertido, en cambio nos relajaremos y la playa en la arena, cerca del suelo.","Había una vez, mis amigos y yo fuimos a la playa durante el verano porque hacía mucho calor afuera. Después de mucho debate, decidimos ir a *PLACE*, una playa en *CITY*, *STATE*. *PLACE* tiene una parte de playa con arena y olas, pero también tiene acantilados cercanos. Una cosa popular para hacer aquí es hacer para saltar del acantilado. El salto desde el acantilado es donde estás en lo alto de una roca y luego saltas al agua debajo. Sin embargo, en *CITY* no se recomienda que [salte]{saltar}<fs:st:t> [de]{del]<ab:det:art:def> acantilado porque puede ser peligroso ya que estás en lo alto. Aunque, no es ilegal que un salvavidas te vea saltar, puede darte un boleto. Cuando yo y mis amigos llegamos, había algunos salvavidas en los acantilados de la playa. Sin embargo, eventualmente se fueron para ir a su siguiente lugar. Entonces decidimos que era nuestra oportunidad de saltar. Mucha gente tuvo la misma idea que nosotros y pronto hubo una fila para saltar. Pronto fue nuestro turno. Todos saltamos juntos y aterrizamos en el agua. Pero, cuando salimos del agua, mi amiga se lastimó la nariz con una roca y comenzó a sangrar. Rápidamente salimos del agua y corrimos a buscarle una toalla para detener la sangre. Como resultado, su nariz quedó magullada durante una semana. La próxima vez, tomaremos el consejo de los salvavidas y no iremos al salto del acantilado porque es peligroso. Aunque [fue]{sea}<fs:st:t:mo> divertido, en cambio nos relajaremos y la playa en la arena, cerca del suelo.",,,"Había una vez, mis amigos y yo fuimos a la playa durante el verano porque hacía mucho calor afuera. Después de mucho debate, decidimos ir a *PLACE*, una playa en *CITY*, *STATE*. *PLACE* tiene una parte de playa con arena y olas, pero también tiene acantilados cerca. Una cosa popular para hacer aquí es saltar del acantilado. El salto desde el acantilado es donde estás en lo alto de una roca y luego saltas al agua que hay debajo. Sin embargo, en *CITY* no se recomienda saltar del acantilado porque puede ser peligroso, ya que estás en lo alto. Aunque, no es ilegal que un salvavidas te vea saltar, puede ponerte una multo. Cuando mis amigos y yo llegamos, había algunos salvavidas en los acantilados de la playa. Sin embargo, eventualmente se fueron para ir a su siguiente lugar. Entonces decidimos que era nuestra oportunidad de saltar. Mucha gente tuvo la misma idea que nosotros y pronto hubo una fila para saltar. Pronto fue nuestro turno. Todos saltamos juntos y aterrizamos en el agua. Pero, cuando salimos del agua, mi amiga se lastimó la nariz con una roca y comenzó a sangrar. Rápidamente salimos del agua y corrimos a buscarle una toalla para detener la sangre. Como resultado, su nariz quedó magullada durante una semana. La próxima vez, tomaremos el consejo de los salvavidas y no iremos al salto del acantilado porque es peligroso, aunque sea divertido. En cambio, nos relajaremos en la playa y en la arena, cerca del suelo.",
3,204489,terrible,S19,SPA 3,19,Female,English,,,,2,3,2,3,No,"Había una vez, yo vi un vídeo en Youtube sobre una chica quien dijo una historia muy terrible. La historia fue sobre el tiempo cuando ella hizo un error grande. En el vídeo, ella llevaba la capucha de su suéter y pareció muy triste. Ella empezó  la historia hablar sobre el tiempo cuando su pelo estaba descolorido porque ella lo blanqueó. Por eso, su pelo estaba muy seco y feo, entonces quería hacer su pelo suave y bonita otra vez por poniendo una crema en su pelo. Entonces, ella puso la crema en su pelo y esperó por casi treinta minutos antes de ducharse. Cuando ella empezó limpiando su pelo ella supo que hizo un error. Su pelo empezó dejó su cabeza en piezas muchas grandes hasta ha sacado casi todos del pelo. Cuando ella saló la ducha fue al peluquero rápidamente  y pido el peluquero si él podría hacer su pelo bonita otra vez pero él dijo que no había nada más en su cabeza. Entonces, ella volvió a su casa y encontró la botella de la crema en su basura y leyó las instrucciones. La botella dijo  que alguien quien tiene el pelo blanqueada no puede usar esta crema porque es muy fuerte y resultaría en perdida del pelo. Después ella aprendió este información, sabía que estaba vería a tener que a vivir con su pelo nuevo y esperaría hasta su pelo volver. Por suerte, ella compró muchas wigs* y estaba lista sentirse feliz y bonita otra vez.",,,,,"Había una vez, yo vi un vídeo en Youtube sobre una chica quien dijo una historia muy terrible. La historia [fue]{era}<fs:st:t> sobre el tiempo cuando [ella]{}<pr:su:pron> hizo un [error grande]{grande error}<col:adj>. En el vídeo, [ella]{}<pr:su:pron> llevaba la capucha de su suéter y [pareció]{parecía}<fs:st:t> muy triste. [Ella]{}<pr:su:pron> empezó  la historia [hablar]{hablando}<fs:st:mo> sobre el tiempo cuando su pelo estaba descolorido porque [ella]{}<pr:su:pron> lo [blanqueó]{había decolorado}<fs:st:t>. Por eso, su pelo estaba muy seco y feo, entonces quería hacer su pelo suave y [bonita]{bonito}<ga:adj> otra vez por poniendo una crema en su pelo. Entonces, [ella]{}<pr:su:pron> puso la crema en su pelo y esperó por casi treinta minutos antes de ducharse. Cuando ella empezó [limpiando]{limpiar}<fs:st:t> su pelo ella supo que hizo un error. Su pelo empezó [dejó]{fs:st:t> su cabeza en piezas muchas grandes hasta [ha sacado]{sacar}<fs:st:t> casi [todos]{todas}<ga:noun> del pelo. Cuando [ella]{}<pr:su:pron> saló la ducha fue al peluquero rápidamente  y [pido]{pidió}<fs:st:t> el peluquero si él [podría]{podía}<fs:st:t> hacer su pelo [bonita]{bonito}<ga:adj> otra vez pero él dijo que no había nada más en su cabeza. Entonces, ella volvió a su casa y encontró la botella de la crema en su basura y leyó las instrucciones. La botella [dijo]{decía}<fs:st:t> que alguien quien tiene el pelo [blanqueada]<ga:adj> no puede usar esta crema porque es muy fuerte y resultaría en perdida del pelo. Después [ella]{}<pr:su:pron> [aprendió]{aprender}<fs:st:t> [este]{esta}<ga:det> información, sabía que estaba vería a tener que a vivir con su pelo nuevo y [esperaría]{esperar}<fs:st:t> hasta su pelo [volver]{vuelva}<fs:st:t>. Por suerte, ella compró muchas wigs* y estaba lista sentirse feliz y bonita otra vez.","Había una vez, yo vi un vídeo en Youtube sobre una chica quien dijo una historia muy terrible. La historia fue [fue]{era}<fs:st:t> sobre el tiempo cuando ella hizo un error grande. En el vídeo, ella llevaba la capucha de su suéter y pareció [pareció]{parecía}<fs:st:t> muy triste. Ella empezó  la historia hablar sobre el tiempo cuando su pelo estaba descolorido porque ella [ella]{}<pr:su:pron> lo blanqueó. Por eso, su pelo estaba muy seco y feo, entonces quería hacer su pelo suave y bonita [bonita]{bonito}<ga:adj> otra vez por poniendo una crema en su pelo. Entonces, ella [ella]{}<pr:su:pron> puso la crema en su pelo y esperó por casi treinta minutos antes de ducharse. Cuando ella [ella]{}<pr:su:pron>  empezó limpiando [limpiando]{a limpiar}<fs:st:t> su pelo ella [ella]{}<pr:su:pron>  supo que hizo [hizo]{había hecho}<fs:st:t> un error. Su pelo empezó dejó [dejó]{a dejar}<fs:st:t> su cabeza en piezas muchas grandes hasta ha sacado [ha secado]{secó}<fs:tc:aux:t> casi todos [todos]{todo}<na:pron> del pelo. Cuando ella [ella]{}<pr:su:pron> saló [saló]{salió}<fs:st:t> la ducha fue al peluquero rápidamente  y pido [pido]{pidió]<fs:st:t> el peluquero si él [él]{}<pr:su:pron> podría [podría]{podía}<fs:st:t> hacer su pelo bonita [bonita]{bonito}<ga:adj> otra vez pero él [él]{}<pr:su:pron> dijo que no había nada más en su cabeza. Entonces, ella volvió a su casa y encontró la botella de la crema en su basura y leyó las instrucciones. La botella dijo [dijo]{decía}<fs:st:t> que alguien quien tiene el pelo blanqueada [blanqueada]{blanqueado}<ga:adj> no puede usar esta crema porque es muy fuerte y resultaría en perdida del pelo. Después ella aprendió este [este]{esta}<ga:det> información, sabía que estaba vería a tener que a vivir con su pelo nuevo y esperaría hasta su pelo volver. Por suerte, ella [ella]{}<pr:su:pron> compró muchas wigs* y estaba lista sentirse feliz y bonita otra vez.",,,"Una vez yo vi un vídeo en YouTube sobre una chica que contó una historia muy terrible. La historia era sobre el momento en el que ella hizo un grande error. En el vídeo llevaba la capucha de su suéter y parecía muy triste. Empezó la historia hablando sobre el tiempo en el que su pelo estaba descolorido porque ella lo había decolorado. Por eso, su pelo estaba muy seco y feo, entonces quería hacer que su pelo fuera suave y bonito otra vez poniendo una crema en su pelo. Entonces, puso la crema en su pelo y esperó por casi treinta minutos antes de ducharse. Cuando empezó a lavar su pelo ella supo que hizo un error. Su pelo empezó a dejar su cabeza en piezas muy grandes hasta sacar casi todos del pelo. Cuando salió de la ducha fue al peluquero rápidamente y pidió al peluquero si él podía hacer su pelo bonito otra vez, pero él le dijo que no había nada más en su cabeza. Entonces, ella volvió a su casa y encontró la botella de la crema en su basura y leyó las instrucciones. La botella decía que alguien que tiene el pelo decolorado no puede usar esta crema porque es muy fuerte y resultaría en perdida del pelo. Después de aprender esta información, sabía que iba tener que a vivir con su pelo nuevo y esperar hasta que su pelo vuelva. Por suerte, compró muchas pelucas y estaba lista para sentirse feliz y bonita otra vez.",
4,175182,terrible,S19,SPA 33,19,Female,Spanish,,Spanish,"The only languages that I speak are Spanish and English. I have studied English since I was in pre-school and I took two Spanish courses in high school, but I speak Spanish at home.",5,4,5,4,Yes,"Una historia terrible que me ha pasado fue en mi primer año escolar. En mi primer dia de clases yo me levanté temprano porque estaba muy nerviosa de mi primera clase y la idea de llegar tarde. Me levante, fui a desayunar y todavía tuve tiempo en descansar un poco el la cafetería. Al principio pense que tenia tiempo suficiente en ir a mi primera clase, hasta puse la dirección de la clases en mi teléfono para que no me perdiera. Cuando llegue al salon donde yo pensé que era mi primera clase me sorprendí porque yo pensaba que mi primera clase era más grande. Agarre mi telefono de mi mochila y mire en mi horario de clases y me di cuenta que mi primer clase no era en el salon que estaba enfrente de mi. Rápidamente obtuve mi telefono y puse la direccion al salon correcto. Me subi rapidamente a mi bicicleta y reme tan rápido como pude a mi primera clase. Agradecidamente llegue a tiempo a clase pero cuando entre en el salon, no tuve la oportunidad de sentarme enfrente de la clase porque llegué justo a tiempo cuando todos los estudiantes ya iban entrando. Yo me tuve que sentar en los asientos de atrás y lamentablemente no pude mirar mucho de lo que el profesor estaba escribiendo. Esta experiencia nunca la voy a olvidar porque me asuste mucho que no iba a llegar a tiempo a mi clase. Yo realmente pensé que iba a llegar quince minutos tarde pero llegue justo a la hora que la clase comenzaba. En mis otras clases tuve la oportunidad de llegar temprano que los demás estudiantes y tuve la oportunidad de encontrar un lugar donde sentarme enfrente de la clase.",,,,,,,,,,
5,206883,terrible,S19,SPA 33,19,Male,"English,Spanish",None,"No, I don't.","I started speaking Spanish, English and Spanish began being implemented together once I began going to school ",5,4,4,4,Yes,"No hay muchas experiencias en que las puedo categorizar como terrible. Esto es porque en cada evento uno puede aprender de sus errores. Al decir esto no se significa que no he pasado por eventos que fueron terribles. Durante mis *AGE* años, no he pasado por muchas experiencias que me han tramado como lo que pasó en Septiembre 29. En este tiempo era un estudiante en la preparatoria y trabajaba en una pizzería. Al no tener transportación, me lleve el carro a mi trabajo. Esto fue después de escuela y todo estaba bien. Pero, al regresar para mi casa cosas tomaron un giro para lo peor. Eran las nueve de la noche y todo estaba oscuro. Como mi ciudad es conocida como una ciudad agricultural hay muchos campos alrededor y yo vivía cerca de los campos. Por razones que hay muchos campos, no hay muchas luces que iluminan el camino.  Tomando esto en cuenta, yo supe que tenía que manejar con cuidado. Antes de llegar a mi casa di un vuelta a la izquierda y lo siguiente que veo es un carro se atraviesa hacia mi camino. Me sale en prisa y hable con el manejador. Está en un estado de shock, no pude creer que estuve involucrado en un accidente. Miro hacia al otra lado y lo siguiente que veo es que el manejador se mete en un carro que salió de la nada y se escapa. Me dejaron con dos carros disfuncionales. Le llamé a mi padre y en unos minutos la policía, los bomberos y gente forman un círculo alrededor del sitio de la accidente. Días después me dieron la noticia que el manejador está conduciendo bajo la influencia. También me dijeron que estaba manejando sin las luces prendidas. De este evento aprendí que aunque uno puede controlar sus acciones todavía tiene que manejar con cuidado porque no puedes controlar las acciones de los demás.",,,,,,,,,,
6,200564,terrible,S19,SPA 1,I am 19.,Female,"English,Other",English/Cantonese,Cantonese,"Portuguese (2 years), Mandarin (11 years)",1,2,2,1,No,"Un dia, yo salgo de mi casa y tomo el autobus al universidad. El dia es muy caliente porque es en verano. Yo soy feliz porque me gusta el sol. Yo hablo y almuerzo con mis amigos. Me amo mis amigos porque ellos son muy divertidos y muy simpatica. Como arroz con pollo y bebemos agua. Mi universidad tiene muchos arboles y es muy verde. Tiene muchos pajaros y perros. Me gusta los animales, y mis amigos les gustan los animales. Finalmente, yo voy a mi clase de Español. Saluda a mi profesor y mis amigas. Me gusta Español porque yo quiero aprender un lingual nuevo, y Español no es un clase de la ciencia, yo pienso felizmente. Mi profesor saluda mi clase. Me di cuenta de que tenemos un examen Español, pero yo no estudiar para el examen! Yo tengo miedo porque yo quiero notas buenas. No sé qué hacer. ",,,,,,,,,,
7,155708,terrible,S19,SPA 33,22,Female,Spanish,Spanish,Spanish,,5,5,5,3,Yes,"Una historia terrible fue cuando me iba a hogar en el mar cuando tenía doce años. Me recuerdo que era un día de verano, mi familia de Guatemala nos estaba visitando y decidimos ir a la playa. Todos estábamos pasando un buen tiempo unos estaban nadando y otros estábamos jugando con la arena. Ya en la tarde decidí meterme en el mar, pero yo ya tenia algo de miedo. A mi en lo personal desde antes que sucediera este evento no me gustaba ir a nadar en el mar siempre era de las niñas que me gustaba solo ir a jugar en la arena y ese día solo decidí meterme, porque vi a todos mis primos nadar y jugar en el agua. Estaba a dentro del agua por unos veinte minutos cuando llego una ola muy gradé y cuando quise salirme de la ola no podía y solo sentía que estaba dando vueltas y vueltas y trataba de salir para agarra aire y no simplemente no podía. No podía gritar, no podía ver nada solo sentía que me estaba muriendo. Cuando al final mi sentí que alguien me agarro. Era mi papá, el que me había salvado. La verdad to sentí que me iba a morir y desde ese evento yo ya no me meto en el mar. Fue una experiencia muy terrible para mi. Gracias a Dios mi papá me pudo salvar creo que si él no me hubiera agarado yo me hubiera muerto. Desde ese momento yo prometí nunca meterme al mar otra ves, y por eso ahora solo voy, pero no me meto.   ",,,,,,,,,,
8,171696,terrible,S19,SPA 2,19,Female,English,I answered English.,No.,French (5 years),3,3,3,3,No,"Cuando yo era niño, yo fui a Disneyland con mi familia. Quería un juguete, pero mis padres no querían comprarme. Mi hermano quería un juguete diferente. Mis padres compraron un juguete para mi hermano. Yo me sentí enojado y dije, ""Te odio."" a mi hermano. Él lloró y mis padres se sentían enojados. Después,  yo me escapé. Después de eso me perdí. No sabía qué hacer. Primero quería buscar a mi mamá pero no tenía una mapa. Me sentí asustada y nerviosa. No quería montar paseos. Entonces vi a un hombre aterrador. Él era alto y tenía el pelo rizado y negro. Él tenía la piel claro y los ojos marrones. Yo creía que el hombre era miedo. De pronto, yo lo supe. Él es Captain Hook. Otra vez yo corría. Después yo tenía hambre y sed pero no supe donde pude encontrar comida o bebida. Después yo lloré mucha pero miré mi madre. Ella estaba enojada y agarró mi mano. Ella dijo, ""¿Adónde fuiste?"" Yo lo dije, ""No sé pero yo tengo hambre."" Después ella compró una hamburgesa para mi. Mi hermano y mi padre montaron paseos. Mi madre me dijo, ""¿Por qué? ¿Por qué te escapaste de mí?"" Yo lo dije, ""Todo el mundo está enojado en mí"" Ella me dije, ""No, no personajes están enojado. Nosotros estabamos preocupandos."" Yo lo dije, ""Oh. ¿Estoy en problemas?"" Mi madre cerró los ojos y me dijo, ""Sí, estás en problemas. No debe haber escapó."" Entonces, nosotros saliamos Disneyland y yo estaba triste.",,,,,,,,,,
9,129358,terrible,S19,SPA 3,23,Male,Mandarin,none,Chinese,"Chinese and English, since I was born.",3,3,3,3,No,"Puedo recordar lo malo que me pasó últimamente, pero sufro los deberes y los proyecto.  Por ejemplo, en los dos últimos trimestres tenía tres proyectos que hacer al final del término. Pero la escuela estaba cerrada por dos semanas y lo único que podía hacer era programar en mi propia computadora usando terminales que es súper lento en lugar de ir al laboratorio en la escuela. Además, no pude ponerme en contacto con mi compañero de proyecto, así que tuve que trabajar solo en esos dos semanas. El proyecto es muy duro y requiere el conocimiento sobre el diseño de chips y el dibujo de diseño. Por lo tanto, yo no era capaz de encontrar una gente al azar que me puede ayudar pronto. Durante estas dos semanas, tuve que quedarme en casa y trabajar solo en el proyecto. Casi pasé 4 horas en el proyecto para cada día, mientras que la mayoría de mis amigos estaban viajando y divirtiéndose. Fue terrible cuando hice todas las partes solo porque incluye múltiples capas del diseño y cada capa requiere cientos y miles de cables. Tuve que buscar el diseño en el sitio web y enviar un correo electrónico al profesor sobre el proceso de diseño. Sin embargo, aunque se sintiera terrible mientras estaba solo, aprendí muchas cosas. Por ejemplo, el conocimiento sobre el diseño y cómo administrar correctamente mi tiempo. Al final, aunque no ganamos el premio por nuestro diseño, me di cuenta de cómo mejorar nuestro diseño, cómo manejar un equipo y cómo mejorar la effeciencia del aprendizaje estudiando solo.",,,,,,,,,,
