,id,prompt,quarter,course,age,gender,l1 language,other l1 language(s),language(s) used at home,language(s) studied,listening comprehension,reading comprehension,speaking ability,writing ability,study abroad,essay,a personal annotator1,a personal annotator2,gender-number annotator1,gender-number annotator2,corrected
0,234836,yourself,W20,SPA 1,18,Male,Mandarin,,Mandarin,Japanese for 5 years,1,2,1,2,No,"Yo soy el chicó de *PLACE* y *AGE* años. Me 
",,,,,
1,149358,yourself,W20,SPA 2,22,Female,Mandarin,,Mandarin,English,,,,,,"Hola. Tengo *AGE* años. Soy de *PLACE*.  Voy a graduar en junio. Estoy soltero pero no solo. Sueño tener un gato y un perro cuando tengo un tradajo. Voy a salir con mis amigos por la noche. Vamos a cominar o tomar boba. No vamos a hacer ejercicio. No vamos a leer un libro porque nos gustan los escritores diferentes. 

Mi comida favorita es el pastel de queso japonés. Las frutas favoritas son la manzana, la uva y la fresa. Me tambian gusta arandano pero no tanto como la unv o la fresa. No me gusta chile, limon o vino tinto. 

Mi especialización es biologia vegetal. Tengo ir a clases de quimica, matematica, fisica y biologia antes de estudio el información de planta. Me gusta la clases de biologia, no me gusta fisica porque es muy dificil. En la clase de biologia, estudiamos el contiendo de la celula y su función. Hay mucho información en la clase pero los profesores en el departamento son muy inteligentes y graciosos. 

Tengo una hermana menor. Se llama *FIRST_NAME*. Ella tiene *AGE* años. Angela es muy comica y atletica. Le gusta jugar baloncesto y futbol. Me ayudo *FIRST_NAME* con su tarea de matematicas porque soy bueno en matematicas. Cuando tenemos tiempo libre, jugamos baloncesto o bádminton o tomamos boba. Cuando *FIRST_NAME* no esta en casa, es muy aburrido pero tranquilo porque ella habla demasiado. *FIRST_NAME* va a ir la universidad este año. Su universidad es lejos de *UNIVERSITY* *UNIVERSITY*. Voy a llamar me hermana menor frecuentemente. 
",,,,,
2,245248,yourself,W20,SPA 22,18,Female,English,,No,,3,4,4,4,No,"Me llamo *FIRST_NAME* y soy una estudiante en la universidad de *UNIVERSITY* *UNIVERSITY*. Antes de yo vine a *CITY*, yo viví en una ciudad muy pequeña, se llamado Foresthill. *CITY* tiene una población de 2.000 -- muchas personas son viejos o familias nuevas que quieren criar sus hijos en una comunidad pequeña. Entonces, no hay mucha gente con la edad misma como yo, ni culturas diversidades en mi comunidad. Con eso, no hay muchas oportunidades a experimentar o conocer personalismos diferentes. Pero, por mi vida, yo aproveché cualquiera oportunidad que se me occurió. Yo soy una vocalista y he estado actuando desde la edad de 11. Yo he cantado el himno nacional de América  más de 40 veces por los deportes, grupos de voluntarios (como el *PLACE*), y los desfiles del 4 de julio en mi ciudad pequeña. Aparte de mi carerra de música, yo he sido en el equipo de fútbol en el primero año de la escuela secundaria. En mi segundo y tercero año, yo estuve un parte del equipo de parristas para fútbol americano y baloncesto. 

Aparte de mi carerra escolar, mi vida doméstica es muy interesante. Yo crecí con mis hermanos y hermanas, yo tengo nueve! Y nosotros montábamos en quads, y motocicletas, especialmente en las dunas. Yo canto con mi hermana mayor por diversión, y me gusta bailar con mis amigas. 

Ahora, me gusta pasar el rato con mis amigos nuevos de *CITY*. Vamos a bailar swing, y el patinaje sobre hielo, y tenemos noches de películas. 
",,,,,
3,206408,yourself,W20,SPA 24,19,Female,"English,Other",Gujarati,Gujarati,None,4,3,2,4,No,"Es mi segundo año en *UNIVERSITY* *UNIVERSITY*. Estudio economía gerencial y relaciones internacionales. Soy originario del condado de *CITY*. Cuando llegué a *UNIVERSITY* *UNIVERSITY* por primera vez, me di cuenta de que la cultura en el norte de *STATE* es muy diferente a la del sur de *STATE*. Al provenir de un área muy hispana en el Condado de *CITY*, estuve constantemente expuesto al idioma español, por lo que me estoy centrando en él. Sin embargo, cuando llegué a esta escuela tuve un gran choque cultural. La cantidad de diversidad fue increíble y muy intimidante, todo al mismo tiempo. Cuando estaba en la escuela secundaria no había mucha diversidad, por eso me sorprendió el estilo de vida de la universidad. Soy *PLACE*. Ser una mujer *PLACE* y vivir 500 millas no se considera culturalmente apropiado porque se espera que la niña se quede en casa y esté cerca de los padres. Mis padres son diferentes en el sentido de que entienden el valor de la educación y las experiencias y no podría apreciarlos lo suficiente como para criarme de la manera que lo hicieron. El estilo de vida de la universidad es muy apropiado para mí porque quiero estudiar más de lo que ya tengo. Quiero ir a la facultad de derecho y luego convertirme en abogado penal. Aunque no estoy seguro de si me gustaría o no ir a la escuela de leyes por razones financieras, sin embargo, los préstamos existen por una razón y no les tengo miedo. A lo largo de los acontecimientos en mi vida he aprendido a ser valiente, valiente, y nunca venderme en corto porque mis increíbles mentores me enseñaron mi valía y no podría estar más agradecido con ellos.
",,,,,
4,234052,yourself,W20,SPA 3,18,Female,English,,Cantonese,,2,3,2,3,No,"Hola, soy una estudiante de *UNIVERSITY* *UNIVERSITY*. Estoy en mi primero ano de colegio, y estoy nerviosa por todos mis clases. Tengo *AGE* anos ahora, y mi cumpleanos es el *BIRTH_DATE* de *BIRTH_DATE*. Tengo un familia muy pequeno. Tengo una madra, un padre, y un hermano. Mi hermano se llama *FIRST_NAME*, y el tiene *AGE* anos ahora. Tengo pelo castano y largo, y llevo gafas. No tengo un bien estilo, y llevo ropa comoda. Soy un persona timida, y no me gusta hablar mucho con nuevas personas. Pero con mis amigos, hablo mucho y me gusta sonreir con ellos. Me gusta dibujar, escribir, y leer. Tambien me gusta aprender espanol porque tengo amigos que hablan espanol muy bien. Quiero viajar a muchos lugares diferentes, incluyendo piases que hablan espanol. Me gusta dibujar personas, animales, y naturaleza en general, pero ahora no dibujo mucho porque estoy en escuela y no tengo mucho tiempo por las cosas que me gusta. Me gusta leer mucho, y cuando estaba mas joven, fue a la biblioteca casi cada dia y leer. Ahora, no leer mucho, pero me gusta. Tambien, me gusta animales mucho. Tengo un tortuga, y ella tiene cuatro anos. Ella es un red eared slider en ingles. Ella se llama *FIRST_NAME*, y amo a ella mucho. Yo quiero mas mascotas, incluyendo un perro, un gato, un serpentine, y mas tortugas. Tortugas son muy lindas. Quiero un gran casa por todos mis mascotas futuros. Ahora, estoy muy feliz en colegio pero espero mi tortuga. 
",,,,,
5,160236,yourself,W20,SPA 1,22,Female,English,hindi ,hindi ,Hindi- 6 months. ,3,3,3,3,No,"Me llamo *FIRST_NAME* *LAST_NAME*. Tengo *AGE* años. Soy estudiante de ciencias políticas en *UNIVERSITY* *UNIVERSITY*. Me graduaré en diciembre de 2020. Trabajaré como corredor de bolsa cuando me gradúe en *CITY* *CITY¿. Tengo un perro llamado *FIRST_NAME*. Tengo un hermano mayor, un papá y una mamá. Mis pasatiempos son pasar tiempo con mi familia en el área de la *PLACE*. También me encanta correr. He corrido dos medias maratones.
Mi sueño es ser el CEO de una empresa. Me encanta aprender sobre política. Además, me encanta viajar. He viajado a seis continentes. El año pasado, visité India, Australia, Londres, Amsterdam, Barcelona y París. Amo aprender sobre otras culturas.

Soy muy trabajador y ambicioso, pero me estreso fácilmente porque me preocupo mucho por la escuela y mis calificaciones. ¡Me encanta ir de compras también! Me encanta usar atuendos lindos como vestidos y faldas.

Estoy tomando 4 clases este trimestre. Estoy estudiando política en deportes, español, estudios chicanos y psicología de la comunicación. Tengo los exámenes parciales próximos, así que estoy súper ocupado.
",,,,,
6,207494,yourself,W20,SPA 24,19,Female,English,,NO,,3,3,3,3,No,"Soy una mujer joven que creció fuera de *CITY*, *STATE*. Mi mamá nació en *CITY* y mi papá nació en *CITY*, *PLACE*. Me gustó la forma en que crecí porque estaba cerca de una gran ciudad, pero tenía una comunidad más pequeña que me rodeaba. También crecí mucho con mi abuela en la casa. Ella vivió con nosotros la mitad del año y pasó la otra mitad en *PLACE*. Creo que gran parte de lo que soy se debe al hecho de haber crecido en *CITY* y al mismo tiempo tener una gran conexión con mi herencia *PLACE*. A medida que crecía, me di cuenta de muchas diferencias entre mi familia y la gente de mi vecindario. Aunque fue difícil conectar con muchas personas, hice buenos amigos que entendieron las pequeñas diferencias culturales con las que me crié. También crecí de una manera que me brindó mucho apoyo. Siempre me dijeron que trabajara duro pero que me enfocara en las cosas que disfruto. Estoy emocionado de estar en *UNIVERSITY* *UNIVERSITY* porque estoy interesado en la agricultura sostenible y en cómo puede ayudar a muchas comunidades. También estoy feliz de estar en *STATE* porque me gusta el calor. Aunque extraño a mi familia y toda la increíble comida que tiene *CITY*, estoy feliz de poder irme de casa. Espero que después de la universidad pueda continuar mi educación, pero también viajar mucho. Me gustaría ver más del mundo y tener un tiempo que no se pase trabajando o yendo a la escuela.
",,,,,
7,226992,yourself,W20,SPA 1,18,Male,"English,Mandarin",,"Mandarin, a little bit Italian and Japanese ","Japanese, I learned about 1 month and know all the basics",,,,,,"¡Hola, todos. Yo tengo *AGE* años y ahora estoy muy feliz porqué estoy aprendiendo español. El español no es fácil pero me gusta el español. Yo soy de *PLACE* pero soy cuatro *PLACE* porqué la familia de mi madre es *PLACE* *PLACE*. Pero yo hablo un poco turco idioma porqué yo vive en la cuidad natal de mi padre y la gente hablando chino solamente . Mi padre es cien por ciento *PLACE*. Yo soy atlético y aventurero por eso me gusta hacer deportes. Mi deporte favorito es fútbol porqué ese es interesante y miro fútbol cuando era niño. Me gusta Sergio Ramos, uno de los mejores jugadores de fútbol en el mundo. El juega para España y el Real Madrid. Yo hablo cinco idiomas y son inglés, chino, japonés, italiano y turco. Estoy aprendiendo español, italiano y japonés. Yo quiero aprender más español y poder hablarlo porqué es más  divertido de aprender.
",,,,,
8,227214,yourself,W20,SPA 1,18,Female,English,,No,French- 3 years,2,2,2,2,No,"Hola, yo soy estudiante de premier año. Soy de *STATE* *PLACE*. Mi ciudad natal se llama *CITY*, *STATE*. Soy atlética, inteligente, y trabajadora.  Yo estudía Sociología. Tengo dos perros y uno gato. Mi perro favorita se llama *FIRST_NAME* y la extraño porque ella está en mi casa. Mi clase favorita ahora mismo es estudios religiosos. Me gusta la música. Soy alto, rubia, y tengo ojos azules.  Tengo tres hermanas y una madre y padre. Yo tengo *AGE* años y mi cumpleaños es el *BIRTH_DATE* de *BIRTH_DATE*. No me gustan las matemáticas y la ciencia. Mi gusta comer pasta y chocolate. Mi gusta mis plantas. Mi libro favorito es La Ética Protestante y el Espíritu del Capitalismo. Mi película favorita es Harry Potter y La Piedra Filosofal. Una de mis mejores amigas es una chica que vive encima de mí en mi dormitorio. Otro de mis mejores amigas es mi compañera de cuarto. Ciao.
",,,,,
9,224384,yourself,W20,SPA 1,18,Female,English,,,,2,2,1,2,No,"Tengo *AGE* anos. Tengo el pelo largo y rubio y los ojos verdes. Soy de *CITY* *STATE* pero voy a la escuela en *CITY*. Me encanta estar en *CITY*. Este es mi primer ano de universidad y es dificil. Mi especialidad es el diseno. No se lo que quiero ser en el futuro. 
",,,,,
