,id,prompt,quarter,course,age,gender,l1 language,other l1 language(s),language(s) used at home,language(s) studied,listening comprehension,reading comprehension,speaking ability,writing ability,study abroad,essay,a personal annotator1,a personal annotator2,gender-number annotator1,gender-number annotator2,updated anntoation ann1,updated annotation ann2,verbs annotation ann1,verbs annotation ann2,corrected1,corrected2
0,259136,yourself,W21,SPA 1,19,Male,3,English,1,No,Comfortable,Comfortable,Comfortable,Comfortable,No,"Hola, 

Mi llamo (says do not include name in text). Yo tengo *AGE* años de edad. Vivo en *CITY* *CITY* y me encanta surfear y jugar béisbol. Me encanta viajar con mis amigos también. Soy muy trabajando y gracioso. Yo tengo dos hermanas y un hermano. Yo tengo una relación muy estrecha con mi familia. Estoy más cerca de mi hermano. Mi hermana mayor tiene *AGE* años de edad. Mi otra hermana tiene *AGE* años. Mi hermano tiene *AGE* años. También me encanta viajar con mi familia. Nunca he estado en un país de habla hispana pero espero que pronto. Estoy tomandar español para que cuando salga de los estados unidos pueda comunicar. Me encantar comunicarme con los que estan en Perú. Me encantaría visitar Perú algun dia con mi familia. Que sería el mejor. Me encanta *CITY* ahora y no puedo esperar a los años venideros. Mi parte favorita de *CITY* es la gente. La gente es muy agradable. 

Gracias, 

-------
",,,,,,,,,,
1,175064,yourself,W21,SPA 111N,21,Female,4 or more,English,2,No,Comfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Comfortable,No,"Soy una estudiante de último año en la universidad y me graduaré en *UNIVERSITY* *UNIVERSITY* en marzo de 2021 con un título en genética y genómica. Antes de asistir a *UNIVERSITY* *UNIVERSITY*, crecí en *CITY* *CITY*. Soy instructora de yoga y enseño en el *PLACE*. También trabajo como asesor de pares para el colegio e ciencias biológicas y como asistente de investigación. Antes de COVID, realmente disfrutaba de mis trabajos y creo que me enseñaron sobre mí. Me gusta ayudar a la gente, lo encuentro muy satisfactorio. Adicionalmente, me gusta la responsabilidad de trabajar en un laboratorio, siento que me mantiene organizada y disfruto presentando atención a los detalles. 

Fuera de mi trabajo académico y profesional, paso el tiempo con mis amigos y mi familia. Tengo un hermano menor que tiene *AGE* años y una media hermana por parte de mi padre que tiene *AGE*. Aunque paso la mayor parte de mi tiempo en *CITY*, trato de pasar mucho tiempo con mi gran familia en *CITY* *CITY* cuando voy a casa. En mi primer año en *UNIVERSITY* *UNIVERSITY*, me uní a la hermandad *PLACE* *PLACE* *PLACE*. Esto me ha permitido formar amistades sólidos dentro de mi hermandad, pero también me presentó a muchas otras personas en diferentes organizaciones en el campus. Desafortunadamente, con la orden de permanecer en casa, no he podido ver a muchas personas que me importan. Me preocupo mucho por las personas en mi vida y he estado tratando de mantener esas conexiones en línea a través de Zoom, FaceTime o texto. 
",,,,,,,,,,
2,178147,yourself,W21,SPA 111N,I am 21 years old.,Female,4 or more,English,2,No,Extremely comfortable,Extremely comfortable,Comfortable,Extremely comfortable,No,"Crecí en el sur de *STATE*, en una ciudad que está en la playa y tengo una hermana menor que es un año más joven que yo. Estudio en la Universidad de *UNIVERSITY* *UNIVERSITY* y estoy en mi cuarto año. Tengo dos especializaciones en Español y Antropología con un menor en la educación. Trabajo en el campus y he trabajado ahí desde mi primer año en *UNIVERSITY* *UNIVERSITY*. Después de la graduación, quiero ir a españa para ser una TA y enseñar inglés, que es mi lengua maternal. Sin embargo, quiero ir a España también para viajar fuera de los Estados Unidos y para experimentar una cultura europea, donde existe tanta historia, diversidad, y gente interesante. Yo no crecí con el español, pero soy de una familia *PLACE* *PLACE* y lo aprendí durante la secundaria. He tomado clases en *UNIVERSITY* *UNIVERSITY* para mejorar mi español, para comunicar con unas personas en mi familia, y para estar más cerca de mi cultura. He estudiado español por tanto tiempo, y lo que espero es vivir en un país hispanohablante para oir como una persona fluyente. Además, aunque he estudiado por 8 años, ya sentí un poco de síndrome del impostor porque no soy un nativohablante tomando muchas clases con personas que crecieron con español como su lengua materna. Espero que mi tiempo en España va a cambiar ese sentido un poco. Fuera de mis estudios, me gusta leer, pasar tiempo con mis amigas, mirar TikTok, y ver películas en Netflix. Porque estamos en el tiempo de COVID, no puedo hacer muchas de las cosas que quería hacer durante mi año final en la universidad, pero también lo bueno es que me ha traído más cerca con mis compañeras de cuarto. Aunque mi graduación no va a ser normal, ya estoy muy emocionada por lo que viene después y para ver todo lo que ofrece el mundo. 
",,,,,,,,,,
3,200887,yourself,W21,SPA 111N,21,Male,3,Spanish,2,Yes,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Yes. More than 2 years.,"            Mi nombre es *FIRST_NAME* *LAST_NAME*, tengo *AGE* años, y provengo de *CITY* *CITY*. Mi familia consiste de 2 hermanos y mi madre. Tengo un hermano que es 2 años mayor y el más chico es 5 años menor. Esto me convierte en el hijo del medio que para muchos es usualmente el hijo “olvidado”, pero en mi opinión personal ser el de medio te convierte en el más interesante. Cuando tenía *AGE* años mi madre y mis hermanos decidimos mudarnos a los Estados Unidos. Actualmente, vivimos en la ciudad de *CITY* en el condado de *CITY* *CITY*. Hemos estado residiendo en la ciudad de *CITY* desde el año 2010 que fue cuando emigramos a los Estados Unidos. En mi casa actualmente nos comunicamos mayormente en español porque mi mama lo comprende, pero no lo habla muy bien. Sin embargo, la dinámica con mis hermanos es diferente porque hablo mayormente inglés con ellos. A mis dos hermanos les encanta jugar y practicar deportes en su tiempo libre. Sin embargo, soy aficionado de los deportes, pero no practico mucho ya que tengo otros pasatiempos. Uno de mis pasatiempos favoritos es tocar la guitarra casi todos los días. Aprendí a tocar la guitarra cuando tenía *AGE* años y desde entonces le tomé mucho cariño y aprecio a la música. Llevo casi 6 años practicando la guitarra y aunque he aprendido a tocar muchas canciones, todavía me falta mucho más que aprender. Otro de mis pasatiempos incluye hacer ejercicio. Al igual que la guitarra empecé a hacer ejercicio cuando tenía *AGE* años y desde entonces me gusto mucho aprender mucho acerca la nutrición y cómo funciona el cuerpo. Hoy en día, práctico ambos pasatiempo y todavía sigue aprendiendo más acerca los campos de música y nutrición.
",,,,,,,,,,
4,268198,yourself,W21,SPA 113,20,Male,4 or more,English,2,No,Extremely comfortable,Neither comfortable nor uncomfortable,Comfortable,Comfortable,Yes. 3 to 6 months.,"Me llamo *FIRST_NAME* *FIRST_NAME* *LAST_NAME*, tengo *AGE* anos, y soy un estudiante del tercer año. Es mi primer año asistiendo a Universidad de *UNIVERSITY*,*UNIVERSITY*. En mi primer año de colegio, empecé en el Universidad de *UNIVERSITY* *UNIVERSITY*, que esta en el estado de *STATE*. El año pasado, pasé casi seis meses viviendo en Valencia, España estudiando como un extranjero. Fue muy divertido y estoy muy agradecido por esa experiencia, porque tenía la oportunidad a practicar muchísimo, en las tiendas, a mis profesores, en los métodos de transportación como en tren, y también los taxis. También, aprendí a hablar con el acento español, y escuchaba las diferencias entre los regiones diferentes del país. Ojalá que un día, puedo volver.

Soy *PLACE*, tengo pelo oscuro y largo, pero lo teñí al color rubio. Me encanta música, es decir, es una de mis cosas favoritos en el mundo. Toco el piano y el bass, pero la guitarra es mi instrumento favorito, en que siento lo más cómodo. He tocado los instrumentos desde mi niñez, y no puedo imaginar una vida sin música. También, mi madre toca el piano, y creo que ella me influenció mucho. Es imposible encontrarme sin tocar música, simplemente puesto, es mi latido de corazón en que puedo expresarme, algo en que siempre he luchado.

Después terminar en *UNIVERSITY* *UNIVERSITY*, me encantaría buscar un trabajo de enseñanza en España. Estoy intentando vivir allá por unos pocos años, y después, continua mis estudios para obtener mi PhD en español, y enseñar a estudiantes en el nivel de universidad. Sé que necesito mejorarme todavía en español, y que quiero sentir más cómodo en conversaciones, pero también yo comprendo que para aprender, alguien tiene que cometer errores, y considerarlo como un oportunidad para perfeccionar sus habilidades. 
",,,,,,,,,,
5,226039,yourself,W21,SPA 113,20,Female,1,Spanish,2,Yes,Extremely comfortable,Extremely comfortable,Comfortable,Comfortable,Yes. More than 2 years.,"Soy una chica de *AGE* años, nacida en CITY*, *STATE* y criada en un pequeño pueblo llamado *CITY* *CITY* *CITY* *CITY* *CITY* en *STATE*, *PLACE*. Mi primer lenguaje, al igual que el de mis padres, es el español. Mi familia y yo vivimos en *STATE* desde que nací hasta que cumplí *AGE* años. Desafortunadamente mi papá fue deportado mientras estaba en su trabajo, y al no poder trabajar y cuidarnos a la misma vez, mi mamá, mis hermanxs y yo emprendimos nuestro viaje de regreso al pueblo nativo de mis padres. Una vez en *CITY*, mi mamá nos inscribió a mi hermana y a mi en la primaria, y fue en ese momento cuando todo se nos comenzó a dificultar. Al haber crecido en un país de habla inglesa como lo es los Estados Unidos de América, mi hermana y yo no nos interesabamos mucho en practicar y enriquecer nuestro español, y mucho menos conservarlo, así que cuando llegamos a *PLACE*, un país de habla hispana, nos fue muy dificil comunicarnos con las demás personas, y ni se diga nuestra participación en clase. Al ver lo importante que era el español en mi vida, especialmente siendo *PLACE*, me propuse mejorar mi español, y no sólo eso, sino que también convertí en mi objetivo el ser proficiente en ambos espa

Este es mi segundo año en la universidad de *UNIVERSITY* en *UNIVERSITY*, y mis especializaciones son Español, Economía y Relaciones Internacionales y soy la prueba de que los objetivos se pueden cumplir mientras que uno se los 
",,,,,,,,,,
6,205209,yourself,W21,SPA 24,20,Female,4 or more,English,1,No,Comfortable,Comfortable,Uncomfortable,Comfortable,No,"Estoy en mi tercer año en la Universidad de *UNIVERSITY* *UNIVERSITY*, estudio la neurobiología, fisiología y conducta y quiero añadir un minoria en Español. En mi futuro quiero trabajar en el campo de medicino porque me gusta ayudar a otros. Por esta razón, creo que la langue de Español es una habilidad critica para aprender. También, mis padres han estados grandes influencias en mis metas profesionales porque los dos trabajan en medicino, mi madre es una enfermera y mi padre es un farmacéutico. Cuando era niña, mi madre me decía cuentas de sus pacientes en el departamento del cáncer en el hospital. Siempre me sorprendía las variedad de personas y la esperanza que ellos tenían en el fin de sus vidas. Esto ha influido mi creencia que el papel de servir las personas que están sufriendo es una responsabilidad muy importante.

En otro lugar, soy una persona muy espiritual y con ambiciones diversos. En mi vida típica practico el yoga y la meditación. Esto me permite separar del mundo y buscar un paz interior. Con la presencia de tecnología en todas partes del nuestras vidas, esta desconexión es muy crítica para mi salud mental. También, a mí me gusta cocinar comida y pintar. Aunque no estoy una muy buena pintura, es una forma de expresión que me trae alegría. 

Estoy una nueva estudiante de Español. Tomaba cuatro años en mi escuela secundaria pero no tomé una clase hasta el cuarto pasado. Por esto, ha estado un poco difícil recordar vocabulario y gramática que yo aprendía muchos años pasados. Una cosa que me ayuda es mirar programas españoles de televisión en Netflix, por ejemplo miré la programa ""Elite"". Una meta que tengo es ganar más confianza en mi habilidad de hablar Español. Puede ser un poco intimidante en las clases virtuales, pero cada clase lo hace un poco más facil.
",,,,,,,,,,
7,84219,yourself,W21,SPA 3,26,Female,4 or more,English,2,No,Extremely comfortable,Comfortable,Uncomfortable,Comfortable,No,"Mi nombre es *FIRST_NAME* y yo soy una estudiante de psicología y desarrollo humano en *UNIVERSITY* *UNIVERSITY*. Me gradúo después de este trimestre y luego voy a empezar mi título de maestría para convertirse en un maestro. En este momento trabajo en una escuela primaria con siete niños con necesidades especiales y me encanta este trabajo. No sé si quiero trabajar con niños con necesidades especiales o si quiero trabajar con educación general, pero sé que quiero ser maestra y estoy muy emocionada de empezar! 

En mi tiempo libre me encanta montar a caballo y estado haciéndolo durante *AGE* años. Entreno caballos jóvenes y luego también competo en ""Eventing"" que tienen tres partes diferentes a la competencia, Dressage, Show Jumping y Cross Country. Mi parte favorito es cross country porque voy muy rápido y mi caballo y yo puedo saltar sobre un montón de cosas frescas y correr a través del agua. 

Mi hermana también monta caballos y esto es algo que podemos compartir juntos. Montamos mucho juntos y vamos a competir junto con nuestros caballos. Competo por todo el estado e incluso salando del estado para unas cuantas competiciones más grandes. Es algo que me encanta hacer y no podía ver mi vida sin. 

Cuando no estoy montando caballos, me gusta estar en la naturaleza tanto como sea posible. Me encanta hacer senderismo y explorar los lugares cerca de donde vivo. También me encanta ir a *CITY* e ir a esquiar en invierno. En verano, voy a escalar rocas con mi novio y mis amigos. 

 
",,,,,,,,,,
8,203936,yourself,W21,SPA 111N,20,Male,3,"English,Spanish",2,Yes,Extremely comfortable,Neither comfortable nor uncomfortable,Extremely comfortable,Neither comfortable nor uncomfortable,No,"Yo soy una persona que le gusta mucho la escuela y los estudios. Siento que el saber es un lujo que nunca se te puede robar, un lujo seguro, un lujo que al final del día también puede inspirar y motivar a las personas a tu alrededor. Contrastando todo eso también me gusta mucho los deportes y otras cosas que me divierten como el juego de ajedrez y los videojuegos. Al mismo tiempo que pienso que el estudio es importante también pienso que es importante disfrutar la vida y no obsesionar sobre ciertas cosas como la biología. A mí me emociona y fascina la biología siento que la vida es algo maravilloso y me motiva hacer tantas preguntas sobre cómo es posible que algo tan intrincado y complicado se pueda destacar en esta manera. Estamos en un tiempo donde tenemos energía a las manos podemos conectarnos con nuestras familias a pesar de estar miles de kilómetros aparte. La maravilla de todo esto es que una especie que encontró la manera de usar el fuego pudo alcanzar a hacer todo esto en el mundo. Inventamos u inventamos sin parar y de una forma es gracias a nuestra biología por la forma que aprendimos a pensar por la forma que empezamos a evolucionar con el tiempo. Agregando a todo esto también encontramos muchas maneras de divertirnos de muchas maneras inventamos deportes como el fútbol que viene desde hace mucho tiempo inventamos juegos de mesa de pensar cómo el ajedrez. La biología es tan interesante que lo disfrutamos sin reconocer que lo disfrutamos cada día.",,,,,,,,,,
9,235787,yourself,W21,SPA 2,21,Male,1,English,2,Yes,Comfortable,Comfortable,Neither comfortable nor uncomfortable,Uncomfortable,Yes. 1 to 3 months.,"Estoy estudiando dos especialidades, son Genética/Genómica y Relaciones Internacionales. Cuando era estudiante de primer año, en realidad planeaba estudiar química. Vivo con mi mamá en *CITY* *CITY* durante las vacaciones escolares, pero mi papá vive en *PLACE* *PLACE*. Mi padre y yo tratamos de llevar al menos unas vacaciones padre-hijo a un lugar fresco cada año. Tengo dos hermanas mayores y un medio hermano mayor, soy la más joven. En casa, tengo un perro del toro francés y dos terriers de Yorkshire. Cuando visito disfruto haciendo cosas como surf, escalada en roca, senderismo, y buceo. Soy alto y tengo ojos azules y cabello rubio, que proviene de mi ascendencia *PLACE* y *PLACE*. Me gusta todo tipo de comida, tengo un lugar especial en mi corazón para un plato mexicano llamado chiles en nogada, es tan delicioso. Mis restaurantes favoritos en *CITY* son *PLACE* *PLACE* y *PLACE* *PLACE*. Tuve el privilegio de viajar mucho creciendo, así que visité más de 20 países, me gusta mucho Israel, España, Indonesia y México. Pronto, me encantaría viajar a Marruecos (por su historia) y Botswana (para ir de safari) a continuación, pero supongo que sólo tendremos que esperar para ver. Quiero aprender español porque soy de herencia mixta, *PLACE* y *PLACE*, y me gustaría eventualmente solicitar mi ciudadanía *PLACE*. Además, soy un mayor de IR y necesitaba completar el requisito de lengua. Después de graduarme de la Universidad voy a conseguir un trabajo. Estoy interesado en unirme al Departamento de Estado de los Estados Unidos para el trabajo diplomático como oficial de servicio de exterior.
",,,,,,,,,,
